client_id,company_name,industry,country_id
CLI000167,Kidd Inc,Technology,CA
CLI000168,Rhodes Inc,Retail,FR
CLI000169,"Wagner, George and Lee",Healthcare,BR
CLI000170,Mullins LLC,Healthcare,IN
CLI000171,Crawford-Lam,Retail,US
CLI000172,Fuentes Inc,Finance,BR
CLI000173,"Clayton, Winters and Davis",Healthcare,US
CLI000174,"Cooper, Norton and Bell",Manufacturing,AU
CLI000175,"Lewis, Woods and Mercado",Manufacturing,FR
CLI000176,Watson-Lopez,Healthcare,IN
CLI000177,Ramirez Ltd,Retail,AU
CLI000178,"George, Spence and Krueger",Manufacturing,AU
CLI000179,Roberts LLC,Finance,JP
CLI000180,Jones-Cole,Manufacturing,BR
CLI000181,"Obrien, Martin and Beck",Technology,ZA
CLI000182,Smith Inc,Consulting,CA
CLI000183,Gomez-Smith,Consulting,US
CLI000184,"Morales, Middleton and Hunter",Manufacturing,BR
CLI000185,Moore Ltd,Healthcare,JP
CLI000186,Wright-Stout,Retail,BR
CLI000187,"Baird, Adams and Decker",Consulting,DE
CLI000188,"Perkins, Cross and Reid",Healthcare,US
CLI000189,Davis and Sons,Finance,CA
CLI000190,"Elliott, Brown and Webster",Healthcare,IN
CLI000191,Reid Ltd,Technology,US
CLI000192,Hughes Inc,Technology,DE
CLI000193,Ramirez-Weaver,Retail,AU
CLI000194,Cervantes-Logan,Retail,IN
CLI000195,"Miller, Garcia and Solomon",Manufacturing,DE
CLI000196,Robbins-Harvey,Manufacturing,IN
CLI000197,Chan PLC,Healthcare,FR
CLI000198,Jacobs Ltd,Healthcare,UK
CLI000199,"Rogers, Garza and Johnson",Healthcare,FR
CLI000200,"Singh, Garcia and Porter",Consulting,BR
CLI000201,"Vasquez, Kerr and Anderson",Retail,ZA
CLI000202,Davis-Kelly,Finance,CA
CLI000203,Hudson-Schwartz,Finance,ZA
CLI000204,Garcia Ltd,Technology,AU
CLI000205,"Smith, Meyers and Wilson",Technology,UK
CLI000206,"Contreras, Jackson and Shaw",Manufacturing,AU
CLI000207,Evans-Ballard,Healthcare,FR
CLI000208,Sanford LLC,Healthcare,IN
CLI000209,Cruz Group,Manufacturing,DE
CLI000210,Krause Group,Consulting,US
CLI000211,Orr PLC,Consulting,DE
CLI000212,Martinez Group,Retail,AU
CLI000213,"Arias, Boyd and Allen",Healthcare,IN
CLI000214,Carney-Phelps,Technology,ZA
CLI000215,Smith Ltd,Healthcare,CA
CLI000216,"Rodriguez, Williams and Perkins",Manufacturing,ZA
CLI000217,"Carpenter, Harvey and Olson",Manufacturing,US
CLI000218,"Dorsey, Singh and Buck",Consulting,US
CLI000219,Bryant Ltd,Retail,IN
CLI000220,Hernandez-Hubbard,Technology,UK
CLI000221,Zavala PLC,Finance,IN
CLI000222,"Durham, Wells and Gonzalez",Manufacturing,UK
CLI000223,Wheeler Inc,Consulting,IN
CLI000224,Jones Ltd,Technology,BR
CLI000225,"Duncan, Moore and Martin",Healthcare,AU
CLI000226,Pollard PLC,Technology,AU
CLI000227,"Morgan, Manning and Rojas",Healthcare,DE
CLI000228,"Jones, Martinez and Williams",Retail,UK
CLI000229,"Morgan, Copeland and Ryan",Manufacturing,DE
CLI000230,"Williams, Morris and Schwartz",Manufacturing,US
CLI000231,Harmon LLC,Consulting,DE
CLI000232,"Vasquez, Carney and Singh",Consulting,DE
CLI000233,Murray and Sons,Manufacturing,IN
CLI000234,"Avila, Vasquez and Tran",Finance,UK
CLI000235,"Randall, Smith and Alvarez",Finance,FR
CLI000236,Watson-Anderson,Healthcare,UK
CLI000237,"Johnson, Mckinney and Brown",Finance,BR
CLI000238,Thompson-Browning,Consulting,US
CLI000239,"Underwood, Zavala and Harper",Technology,JP
CLI000240,Stewart-Silva,Consulting,US
CLI000241,Herrera-Harper,Retail,BR
CLI000242,"Conley, Santiago and Davidson",Technology,US
CLI000243,Freeman-Kelly,Finance,BR
CLI000244,"Daniels, Cooper and Griffin",Finance,IN
CLI000245,"Rivas, Case and Russell",Healthcare,JP
CLI000246,Harris-Barnett,Retail,AU
CLI000247,"Becker, Gardner and Evans",Technology,DE
CLI000248,Smith-Barnes,Healthcare,JP
CLI000249,"Turner, Harmon and Garcia",Technology,FR
CLI000250,Berger PLC,Manufacturing,DE
CLI000251,Lyons-Cline,Technology,UK
CLI000252,Gutierrez-Alvarado,Manufacturing,BR
CLI000253,Gill-Davidson,Finance,US
CLI000254,"Miller, Hobbs and Smith",Manufacturing,BR
CLI000255,Dudley Group,Technology,FR
CLI000256,Garcia PLC,Consulting,AU
CLI000257,Freeman and Sons,Manufacturing,UK
CLI000258,Newton Inc,Manufacturing,AU
CLI000259,Martin-Rollins,Retail,IN
CLI000260,Martin-Robinson,Finance,BR
CLI000261,Watson-Smith,Technology,JP
CLI000262,"Durham, Love and Fisher",Healthcare,ZA
CLI000263,Lee Group,Manufacturing,CA
CLI000264,Hays-Bailey,Manufacturing,AU
CLI000265,Ray-Chase,Finance,DE
CLI000266,Hernandez-Sanchez,Manufacturing,BR
CLI000267,"Espinoza, Wong and Ward",Healthcare,CA
CLI000268,"Schmidt, Peterson and Gutierrez",Healthcare,BR
CLI000269,Oneal Inc,Retail,CA
CLI000270,Petty-Kelly,Consulting,UK
CLI000271,Wright-Green,Retail,CA
CLI000272,"Lewis, Ruiz and Wright",Retail,US
CLI000273,"Blair, Wright and Hanson",Consulting,ZA
CLI000274,Berry PLC,Retail,JP
CLI000275,Barton Ltd,Finance,BR
CLI000276,"Kim, Richardson and Scott",Technology,UK
CLI000277,"Cole, Russell and Hughes",Technology,DE
CLI000278,Price-Payne,Finance,BR
CLI000279,"Miller, Lopez and Willis",Consulting,ZA
CLI000280,Dickerson and Sons,Consulting,CA
CLI000281,Boyle-Simpson,Manufacturing,BR
CLI000282,Stevens-Collins,Healthcare,CA
CLI000283,Bonilla-Ingram,Technology,FR
CLI000284,Romero-Strong,Manufacturing,BR
CLI000285,Hernandez Ltd,Finance,CA
CLI000286,Smith LLC,Technology,JP
CLI000287,Williams Ltd,Technology,CA
CLI000288,Barr and Sons,Finance,BR
CLI000289,Ramos-Jacobs,Finance,AU
CLI000290,Thomas-Dominguez,Consulting,FR
CLI000291,Stein Group,Consulting,DE
CLI000292,Clark-Chase,Retail,AU
CLI000293,Tyler-Robles,Manufacturing,DE
CLI000294,Sullivan-Foster,Retail,IN
CLI000295,"Owen, Dennis and Cabrera",Manufacturing,FR
CLI000296,Callahan PLC,Healthcare,ZA
CLI000297,Cunningham-Fernandez,Technology,BR
CLI000298,Schmidt LLC,Technology,ZA
CLI000299,"Walsh, Smith and Schmitt",Technology,US
CLI000300,Williams PLC,Technology,ZA
CLI000301,"Thomas, Davis and Sutton",Healthcare,US
CLI000302,Munoz-Luna,Healthcare,US
CLI000303,Hendrix-Wheeler,Retail,FR
CLI000304,Owens-Taylor,Finance,ZA
CLI000305,"Nolan, Patterson and Hernandez",Technology,UK
CLI000306,"Williams, Morrow and West",Finance,AU
CLI000307,Boyd-Davenport,Retail,BR
CLI000308,"Wright, Church and Murray",Technology,AU
CLI000309,"King, Johnson and Diaz",Retail,CA
CLI000310,"Adams, Rogers and Randall",Healthcare,US
CLI000311,Franklin-Benson,Technology,US
CLI000312,"Moss, Johnson and Payne",Finance,CA
CLI000313,Woods-Torres,Retail,CA
CLI000314,Livingston-Reid,Technology,BR
CLI000315,"Simmons, Jarvis and Ewing",Retail,US
CLI000316,"Williams, Morris and Foster",Technology,IN
CLI000317,Gibson-Ward,Technology,UK
CLI000318,"Benitez, Bell and Cox",Retail,BR
CLI000319,Burns-Mcgrath,Consulting,ZA
CLI000320,Roberts and Sons,Healthcare,JP
CLI000321,"Coleman, Hull and Howard",Technology,CA
CLI000322,Garcia-Jackson,Retail,ZA
CLI000323,Ramirez Ltd,Consulting,UK
CLI000324,"Shaffer, Wolfe and Brady",Finance,IN
CLI000325,Short-Sandoval,Retail,UK
CLI000326,Wilkins-Chase,Technology,DE
CLI000327,"Galvan, Ellis and Payne",Retail,US
CLI000328,Parsons-Randall,Retail,DE
CLI000329,Green-Crosby,Finance,DE
CLI000330,"Guerra, Lamb and Cuevas",Manufacturing,US
CLI000331,Weiss LLC,Consulting,US
CLI000332,Kemp Ltd,Healthcare,UK
CLI000333,"Cunningham, Morton and Hammond",Consulting,CA
CLI000334,"Nichols, Smith and Myers",Finance,FR
CLI000335,Hernandez Inc,Technology,CA
CLI000336,Jones-Dickson,Finance,CA
CLI000337,Strickland-Golden,Consulting,BR
CLI000338,Ramos Ltd,Technology,FR
CLI000339,"West, Sanchez and Lee",Manufacturing,US
CLI000340,"Perez, Smith and Gray",Manufacturing,DE
CLI000341,Williams Ltd,Finance,FR
CLI000342,May and Sons,Healthcare,US
CLI000343,Davis-Ortiz,Technology,AU
CLI000344,Gibson Ltd,Healthcare,ZA
CLI000345,White-Perkins,Retail,FR
CLI000346,Brown-Rich,Finance,JP
CLI000347,Zamora-Olsen,Consulting,AU
CLI000348,"Schmidt, Espinoza and Brooks",Consulting,AU
CLI000349,Short LLC,Manufacturing,JP
CLI000350,Jackson PLC,Healthcare,IN
CLI000351,Malone and Sons,Retail,AU
CLI000352,Kramer-Bailey,Manufacturing,IN
CLI000353,"Stone, Evans and Smith",Healthcare,DE
CLI000354,Turner-Hall,Healthcare,FR
CLI000355,"Moore, Leonard and Brown",Finance,CA
CLI000356,Le LLC,Consulting,FR
CLI000357,Henderson-Clark,Retail,JP
CLI000358,Casey-Farmer,Retail,AU
CLI000359,Walker Inc,Manufacturing,UK
CLI000360,Brown Ltd,Finance,CA
CLI000361,Williams-Hodges,Healthcare,AU
CLI000362,Bennett-Farley,Retail,FR
CLI000363,"Salinas, Rogers and Evans",Consulting,JP
CLI000364,Meyer Ltd,Technology,IN
CLI000365,"Pope, James and Gillespie",Manufacturing,AU
CLI000366,Hendricks-Parker,Manufacturing,IN
CLI000367,Miller-Foley,Manufacturing,AU
CLI000368,"Mcgrath, Sims and Lawson",Manufacturing,IN
CLI000369,"Johnson, Davis and Young",Finance,IN
CLI000370,Martinez-Newton,Technology,DE
CLI000371,Branch Inc,Technology,DE
CLI000372,"Vasquez, Dennis and Peterson",Manufacturing,JP
CLI000373,"Weber, Williams and Jones",Manufacturing,US
CLI000374,Brown PLC,Manufacturing,UK
CLI000375,"Estrada, Colon and Moreno",Healthcare,US
CLI000376,"Sparks, Dillon and Tran",Consulting,JP
CLI000377,"Harris, Clark and Wilson",Consulting,IN
CLI000378,"Jones, Cook and Jackson",Consulting,BR
CLI000379,Anderson PLC,Retail,AU
CLI000380,Hansen-Ramirez,Healthcare,UK
CLI000381,Hammond Ltd,Manufacturing,AU
CLI000382,Morrison LLC,Manufacturing,DE
CLI000383,Keller-Pearson,Finance,DE
CLI000384,"Lang, Alvarado and Ortiz",Healthcare,ZA
CLI000385,Riley-Barnes,Consulting,DE
CLI000386,Mayer Inc,Finance,UK
CLI000387,"Walker, Yates and Velez",Finance,FR
CLI000388,Williams-Chung,Consulting,BR
CLI000389,"Blankenship, Hunt and Carpenter",Manufacturing,US
CLI000390,Harvey Group,Retail,UK
CLI000391,Gray-Moore,Technology,IN
CLI000392,Daniels and Sons,Finance,CA
CLI000393,"Reid, Stafford and French",Healthcare,DE
CLI000394,Page-Lopez,Manufacturing,BR
CLI000395,Fitzgerald-Oneill,Finance,UK
CLI000396,Frederick Ltd,Technology,US
CLI000397,Morris Inc,Healthcare,US
CLI000398,"Hopkins, Ruiz and Frazier",Finance,UK
CLI000399,Gutierrez-Carlson,Consulting,IN
CLI000400,"Vincent, Lynn and Nguyen",Technology,UK
CLI000401,Fox Inc,Retail,CA
CLI000402,Perez Group,Retail,UK
CLI000403,"Solis, Ramirez and Perez",Consulting,AU
CLI000404,Mclaughlin-White,Technology,DE
CLI000405,"Fletcher, Mccann and Harris",Healthcare,ZA
CLI000406,Marshall-Simmons,Retail,AU
CLI000407,"Dunn, Wyatt and Patton",Finance,AU
CLI000408,Krueger-Watson,Retail,CA
CLI000409,"Mitchell, Wright and Romero",Manufacturing,ZA
CLI000410,Patterson-Johnson,Consulting,FR
CLI000411,"Ryan, Howell and Sanchez",Manufacturing,ZA
CLI000412,Ross-Bell,Consulting,US
CLI000413,Villanueva-Bullock,Technology,FR
CLI000414,Moon-Flowers,Healthcare,FR
CLI000415,Rogers-James,Technology,AU
CLI000416,Munoz and Sons,Consulting,CA
CLI000417,"Allen, Morris and Cooper",Retail,FR
CLI000418,Sanders-Clark,Technology,JP
CLI000419,"Phillips, Garner and Booth",Consulting,DE
CLI000420,Hunter Inc,Manufacturing,ZA
CLI000421,Farrell LLC,Consulting,AU
CLI000422,"Ballard, Evans and Cruz",Technology,FR
CLI000423,Huber-Butler,Technology,DE
CLI000424,Butler LLC,Technology,FR
CLI000425,"Walker, Davila and Smith",Healthcare,FR
CLI000426,Gregory-Martin,Technology,JP
CLI000427,Garrison-Price,Finance,UK
CLI000428,Bullock LLC,Retail,UK
CLI000429,"Myers, White and Roberts",Consulting,DE
CLI000430,Guerrero PLC,Finance,AU
CLI000431,Cruz-Dorsey,Retail,ZA
CLI000432,"Reed, Arnold and Kirby",Healthcare,US
CLI000433,"Fisher, Brown and Williams",Manufacturing,CA
CLI000434,"Miller, Andersen and Nguyen",Finance,FR
CLI000435,Ferguson-Lee,Retail,ZA
CLI000436,"Glover, Ross and Burns",Technology,UK
CLI000437,Mills Ltd,Manufacturing,IN
CLI000438,Hendricks and Sons,Manufacturing,US
CLI000439,"Greene, Moore and Andrews",Technology,FR
CLI000440,Johnson-Stafford,Finance,JP
CLI000441,"Carter, Johnson and Rodgers",Healthcare,FR
CLI000442,"Lowe, Porter and Stone",Retail,ZA
CLI000443,Woods-Griffin,Consulting,JP
CLI000444,"Freeman, Hobbs and Thompson",Healthcare,US
CLI000445,"Simmons, Gibson and Prince",Technology,ZA
CLI000446,Rios-Barnes,Retail,JP
CLI000447,"Nixon, Morgan and Caldwell",Retail,IN
CLI000448,Smith Group,Finance,CA
CLI000449,Palmer-Sanchez,Healthcare,US
CLI000450,"Jensen, Franklin and Burnett",Healthcare,ZA
CLI000451,"Gilbert, Thompson and Green",Technology,DE
CLI000452,"Christensen, Allison and Snyder",Technology,IN
CLI000453,Lynch LLC,Retail,BR
CLI000454,"Johnson, Ryan and Ayers",Finance,FR
CLI000455,Riggs-Price,Retail,US
CLI000456,Barker LLC,Retail,IN
CLI000457,"Stevens, Harris and Thompson",Healthcare,US
CLI000458,Brooks Ltd,Finance,IN
CLI000459,"Moore, Turner and Vasquez",Consulting,AU
CLI000460,"Adams, Weaver and Taylor",Retail,ZA
CLI000461,Thompson-Kerr,Consulting,BR
CLI000462,Campbell Inc,Consulting,FR
CLI000463,"Alexander, Miller and Roberts",Technology,UK
CLI000464,Brown Ltd,Finance,IN
CLI000465,"Mathews, Dawson and White",Consulting,IN
CLI000466,Green-Holland,Manufacturing,ZA
CLI000467,"Butler, Francis and Garcia",Retail,US
CLI000468,Martin PLC,Healthcare,FR
CLI000469,"Hines, Owens and Dougherty",Technology,DE
CLI000470,Alexander-Lawrence,Consulting,JP
CLI000471,Anderson-Palmer,Consulting,AU
CLI000472,Stevens-Patel,Technology,JP
CLI000473,Davis Ltd,Retail,DE
CLI000474,Clark-Davidson,Healthcare,US
CLI000475,George Inc,Manufacturing,DE
CLI000476,Walker PLC,Technology,DE
CLI000477,Henson and Sons,Technology,UK
CLI000478,"Moyer, Ramos and Walls",Consulting,CA
CLI000479,Walsh LLC,Retail,AU
CLI000480,"Matthews, Smith and Henderson",Manufacturing,DE
CLI000481,"Smith, Stevens and Huynh",Finance,BR
CLI000482,Schmitt Inc,Technology,UK
CLI000483,"Hayes, Alexander and Yang",Technology,IN
CLI000484,"Butler, House and Shields",Finance,ZA
CLI000485,Bonilla Ltd,Retail,BR
CLI000486,Wood-Quinn,Healthcare,JP
CLI000487,Fisher Ltd,Healthcare,JP
CLI000488,"Brown, Beard and Travis",Technology,FR
CLI000489,Leonard-Hernandez,Manufacturing,IN
CLI000490,Holland-Benson,Technology,DE
CLI000491,Graves-Williamson,Technology,JP
CLI000492,"Morris, West and Singh",Finance,BR
CLI000493,Goodwin and Sons,Healthcare,IN
CLI000494,"Miranda, Miller and Myers",Consulting,IN
CLI000495,"Spencer, Daniels and Foster",Technology,DE
CLI000496,Brennan-Howard,Technology,AU
CLI000497,Erickson LLC,Technology,JP
CLI000498,Mcfarland LLC,Manufacturing,UK
CLI000499,Atkinson LLC,Manufacturing,CA
CLI000500,Johnson Group,Technology,JP
CLI000501,Morrison LLC,Finance,CA
CLI000502,Martinez-Powell,Finance,AU
CLI000503,Frazier Ltd,Finance,FR
CLI000504,"Cruz, Hardy and Lowery",Consulting,BR
CLI000505,"Huang, Moore and Bennett",Retail,FR
CLI000506,Leach-Roberts,Finance,FR
CLI000507,"Castro, Williams and Simmons",Finance,UK
CLI000508,"Gray, Powell and West",Manufacturing,DE
CLI000509,Blevins and Sons,Technology,JP
CLI000510,"Rose, Palmer and Stokes",Consulting,IN
CLI000511,Stone and Sons,Manufacturing,IN
CLI000512,Watson and Sons,Technology,IN
CLI000513,"Herrera, Lee and Williams",Manufacturing,FR
CLI000514,Bates-Cannon,Manufacturing,UK
CLI000515,Garcia Inc,Finance,IN
CLI000516,Gonzales Group,Consulting,DE
CLI000517,Sullivan-Fry,Finance,AU
CLI000518,"King, Hall and Oconnor",Retail,CA
CLI000519,Burgess LLC,Retail,US
CLI000520,Evans-Sullivan,Healthcare,US
CLI000521,Williams-Hughes,Technology,DE
CLI000522,Fowler-Roberts,Consulting,BR
CLI000523,Williams-Clark,Retail,AU
CLI000524,Perry Inc,Manufacturing,FR
CLI000525,Trujillo PLC,Consulting,BR
CLI000526,Cameron Inc,Retail,IN
CLI000527,"Long, Jensen and Quinn",Manufacturing,ZA
CLI000528,Phillips and Sons,Consulting,DE
CLI000529,Thomas PLC,Finance,IN
CLI000530,"Sanchez, Shaw and George",Manufacturing,ZA
CLI000531,Grimes-Roberts,Retail,CA
CLI000532,Conway Inc,Retail,UK
CLI000533,Allen LLC,Technology,ZA
CLI000534,Vaughan Inc,Technology,DE
CLI000535,Chang-Wells,Technology,JP
CLI000536,Ramirez LLC,Consulting,IN
CLI000537,"Allen, Newman and Obrien",Healthcare,US
CLI000538,Cook-Perry,Retail,CA
CLI000539,Wong-Martinez,Retail,CA
CLI000540,Smith-Williams,Healthcare,AU
CLI000541,Bennett-James,Manufacturing,JP
CLI000542,"Hutchinson, Wolfe and Jackson",Healthcare,AU
CLI000543,"House, Phillips and Lee",Manufacturing,FR
CLI000544,"Brown, Dawson and Gordon",Retail,FR
CLI000545,Barnett-Middleton,Consulting,ZA
CLI000546,Carlson PLC,Consulting,JP
CLI000547,Jones-Herman,Manufacturing,ZA
CLI000548,Johnson-Knapp,Finance,ZA
CLI000549,"Sanders, Hunt and Patterson",Healthcare,FR
CLI000550,Brandt and Sons,Consulting,UK
CLI000551,Martin-Huber,Healthcare,FR
CLI000552,"Berry, Williams and Powers",Manufacturing,JP
CLI000553,Wiggins-Reyes,Consulting,ZA
CLI000554,Adams-Schmidt,Healthcare,UK
CLI000555,Koch-Graves,Healthcare,CA
CLI000556,"Shepherd, Moreno and Carroll",Manufacturing,CA
CLI000557,Carter PLC,Finance,JP
CLI000558,"Flores, Collins and Steele",Healthcare,AU
CLI000559,Knight Ltd,Manufacturing,BR
CLI000560,Berg-Harris,Healthcare,BR
CLI000561,Crawford Group,Finance,CA
CLI000562,Bryant LLC,Manufacturing,AU
CLI000563,Walker-Hoover,Healthcare,DE
CLI000564,Hayes LLC,Manufacturing,CA
CLI000565,"Walker, Perkins and Rodriguez",Consulting,DE
