payment_id,employee_id,client_id,country_id,tax_rule_id,gross_pay,tax_amount,net_pay,currency,payment_date,status,compliance_status,started_at,completed_at
PAY000012,EMP003574,CLI003455,BR,REG002266,277730,52769,224961,BRL,2024-03-13,completed,Compliant,2024-03-13 00:00:00,2024-03-13 01:10:15
PAY000013,EMP005398,CLI001810,IN,REG002536,238634,0,238634,INR,2024-01-26,completed,Compliant,2024-01-26 00:00:00,2024-01-26 00:47:29
PAY000014,EMP002814,CLI002158,BR,REG000149,798871,0,798871,BRL,2023-09-12,completed,Compliant,2023-09-12 00:00:00,2023-09-12 00:55:08
PAY000015,EMP005112,CLI001268,IN,REG000077,371013,70492,300521,INR,2025-03-08,pending,Non-Compliant,2025-03-08 00:00:00,
PAY000016,EMP006355,CLI003954,AU,REG000773,232773,0,232773,AUD,2024-09-16,pending,Non-Compliant,2024-09-16 00:00:00,
PAY000017,EMP003254,CLI003013,AU,REG001734,824742,0,824742,AUD,2024-02-05,completed,Compliant,2024-02-05 00:00:00,2024-02-05 01:53:23
PAY000018,EMP000927,CLI000404,JP,REG001234,192897,73301,119596,JPY,2025-01-28,pending,Non-Compliant,2025-01-28 00:00:00,
PAY000019,EMP000457,CLI002755,FR,REG001724,964344,163938,800406,EUR,2024-09-25,pending,Non-Compliant,2024-09-25 00:00:00,
PAY000020,EMP004552,CLI002754,IN,REG001210,417873,129541,288332,INR,2025-01-24,pending,Non-Compliant,2025-01-24 00:00:00,
PAY000021,EMP006805,CLI001007,ZA,REG001723,821278,0,821278,ZAR,2024-08-12,pending,Non-Compliant,2024-08-12 00:00:00,
PAY000022,EMP003473,CLI003055,AU,REG002985,293221,61576,231645,AUD,2024-02-29,failed,Non-Compliant,2024-02-29 00:00:00,
PAY000023,EMP006507,CLI003396,BR,REG002703,973486,0,973486,BRL,2023-10-18,failed,Non-Compliant,2023-10-18 00:00:00,
PAY000024,EMP003397,CLI002917,BR,REG002832,604442,90666,513776,BRL,2024-12-03,completed,Compliant,2024-12-03 00:00:00,2024-12-03 01:35:11
PAY000025,EMP006214,CLI004755,JP,REG000053,989661,0,989661,JPY,2023-11-26,pending,Non-Compliant,2023-11-26 00:00:00,
PAY000026,EMP000750,CLI000416,ZA,REG000185,475638,156961,318677,ZAR,2023-10-22,failed,Non-Compliant,2023-10-22 00:00:00,
PAY000027,EMP002406,CLI002700,DE,REG001005,526284,0,526284,EUR,2024-11-24,completed,Compliant,2024-11-24 00:00:00,2024-11-24 00:48:15
PAY000028,EMP005574,CLI001299,CA,REG002271,388954,50564,338390,CAD,2023-07-20,failed,Non-Compliant,2023-07-20 00:00:00,
PAY000029,EMP000765,CLI004776,DE,REG002994,621177,0,621177,EUR,2023-12-25,failed,Non-Compliant,2023-12-25 00:00:00,
PAY000030,EMP001896,CLI000378,US,REG001316,600389,204132,396257,USD,2025-01-24,pending,Non-Compliant,2025-01-24 00:00:00,
PAY000031,EMP006376,CLI000561,ZA,REG002895,968974,155036,813938,ZAR,2023-07-08,failed,Non-Compliant,2023-07-08 00:00:00,
PAY000032,EMP005474,CLI004240,IN,REG002246,571161,0,571161,INR,2023-08-12,completed,Compliant,2023-08-12 00:00:00,2023-08-12 01:54:57
PAY000033,EMP004146,CLI000200,IN,REG002889,681607,231746,449861,INR,2024-01-23,pending,Non-Compliant,2024-01-23 00:00:00,
PAY000034,EMP000720,CLI004520,ZA,REG000191,434625,0,434625,ZAR,2024-06-13,pending,Non-Compliant,2024-06-13 00:00:00,
PAY000035,EMP001613,CLI001418,AU,REG000388,197224,0,197224,AUD,2024-05-14,completed,Compliant,2024-05-14 00:00:00,2024-05-14 01:41:54
PAY000036,EMP000358,CLI000270,CA,REG000751,356532,0,356532,CAD,2025-04-14,pending,Non-Compliant,2025-04-14 00:00:00,
PAY000037,EMP005006,CLI001944,US,REG001048,710079,0,710079,USD,2025-03-22,failed,Non-Compliant,2025-03-22 00:00:00,
PAY000038,EMP005796,CLI004094,JP,REG001300,490086,0,490086,JPY,2023-08-08,failed,Non-Compliant,2023-08-08 00:00:00,
PAY000039,EMP004812,CLI001934,JP,REG000252,918682,0,918682,JPY,2024-03-24,completed,Compliant,2024-03-24 00:00:00,2024-03-24 01:21:54
PAY000040,EMP004451,CLI001389,DE,REG002712,502792,0,502792,EUR,2024-09-07,failed,Non-Compliant,2024-09-07 00:00:00,
PAY000041,EMP005364,CLI001730,CA,REG000308,579066,0,579066,CAD,2024-03-23,failed,Non-Compliant,2024-03-23 00:00:00,
PAY000042,EMP004327,CLI003684,DE,REG001486,957332,0,957332,EUR,2023-08-15,pending,Non-Compliant,2023-08-15 00:00:00,
PAY000043,EMP004257,CLI003541,DE,REG000478,795632,278471,517161,EUR,2023-08-06,pending,Non-Compliant,2023-08-06 00:00:00,
PAY000044,EMP003311,CLI001106,ZA,REG001199,893773,0,893773,ZAR,2023-07-25,failed,Non-Compliant,2023-07-25 00:00:00,
PAY000045,EMP006055,CLI004198,FR,REG000040,309327,0,309327,EUR,2024-12-31,failed,Non-Compliant,2024-12-31 00:00:00,
PAY000046,EMP005729,CLI003315,AU,REG000469,364552,65619,298933,AUD,2024-09-16,completed,Compliant,2024-09-16 00:00:00,2024-09-16 01:30:41
PAY000047,EMP003563,CLI003383,UK,REG001480,350285,98080,252205,GBP,2024-12-25,pending,Non-Compliant,2024-12-25 00:00:00,
PAY000048,EMP002514,CLI001590,UK,REG001441,331891,0,331891,GBP,2024-10-20,completed,Compliant,2024-10-20 00:00:00,2024-10-20 01:19:54
PAY000049,EMP006279,CLI003556,AU,REG000821,639344,0,639344,AUD,2024-04-05,pending,Non-Compliant,2024-04-05 00:00:00,
PAY000050,EMP003329,CLI002680,JP,REG001381,634495,126899,507596,JPY,2023-10-21,pending,Non-Compliant,2023-10-21 00:00:00,
PAY000051,EMP004245,CLI003886,JP,REG000476,723751,0,723751,JPY,2024-02-21,failed,Non-Compliant,2024-02-21 00:00:00,
PAY000052,EMP003634,CLI001382,AU,REG001481,648446,0,648446,AUD,2025-01-14,pending,Non-Compliant,2025-01-14 00:00:00,
PAY000053,EMP002548,CLI000723,CA,REG001902,501278,0,501278,CAD,2024-02-14,failed,Non-Compliant,2024-02-14 00:00:00,
PAY000054,EMP002506,CLI001779,US,REG001505,833903,0,833903,USD,2024-11-21,pending,Non-Compliant,2024-11-21 00:00:00,
PAY000055,EMP006497,CLI002042,US,REG002972,732824,278473,454351,USD,2024-03-14,failed,Non-Compliant,2024-03-14 00:00:00,
PAY000056,EMP000752,CLI003304,DE,REG001626,827278,0,827278,EUR,2025-02-23,pending,Non-Compliant,2025-02-23 00:00:00,
PAY000057,EMP002547,CLI001250,IN,REG000778,653545,0,653545,INR,2024-12-15,completed,Compliant,2024-12-15 00:00:00,2024-12-15 00:07:10
PAY000058,EMP005133,CLI004550,US,REG002071,783104,242762,540342,USD,2023-08-07,failed,Non-Compliant,2023-08-07 00:00:00,
PAY000059,EMP004631,CLI004826,US,REG002049,789105,0,789105,USD,2024-09-25,pending,Non-Compliant,2024-09-25 00:00:00,
PAY000060,EMP003183,CLI004254,IN,REG002122,700905,0,700905,INR,2024-05-07,pending,Non-Compliant,2024-05-07 00:00:00,
PAY000061,EMP000523,CLI001491,BR,REG000656,987718,118526,869192,BRL,2024-02-12,failed,Non-Compliant,2024-02-12 00:00:00,
PAY000062,EMP006879,CLI001195,JP,REG000789,803352,0,803352,JPY,2024-02-09,failed,Non-Compliant,2024-02-09 00:00:00,
PAY000063,EMP001990,CLI004019,DE,REG000700,445338,0,445338,EUR,2024-09-04,pending,Non-Compliant,2024-09-04 00:00:00,
PAY000064,EMP001125,CLI003981,DE,REG000936,303901,39507,264394,EUR,2025-05-02,completed,Compliant,2025-05-02 00:00:00,2025-05-02 00:29:41
PAY000065,EMP005791,CLI000526,JP,REG001586,983124,0,983124,JPY,2024-10-06,completed,Compliant,2024-10-06 00:00:00,2024-10-06 01:23:01
PAY000066,EMP001669,CLI002464,UK,REG002655,542746,0,542746,GBP,2024-03-21,pending,Non-Compliant,2024-03-21 00:00:00,
PAY000067,EMP005790,CLI002003,AU,REG002744,546195,71005,475190,AUD,2023-11-02,pending,Non-Compliant,2023-11-02 00:00:00,
PAY000068,EMP000421,CLI003154,FR,REG001376,395072,138275,256797,EUR,2024-02-25,pending,Non-Compliant,2024-02-25 00:00:00,
PAY000069,EMP005623,CLI003271,CA,REG001591,798002,0,798002,CAD,2025-05-01,failed,Non-Compliant,2025-05-01 00:00:00,
PAY000070,EMP005338,CLI004600,BR,REG001933,552174,0,552174,BRL,2023-10-06,pending,Non-Compliant,2023-10-06 00:00:00,
PAY000071,EMP005545,CLI001079,DE,REG000015,898023,0,898023,EUR,2025-02-10,completed,Compliant,2025-02-10 00:00:00,2025-02-10 00:44:28
PAY000072,EMP003240,CLI002092,IN,REG002478,481914,149393,332521,INR,2024-12-08,failed,Non-Compliant,2024-12-08 00:00:00,
PAY000073,EMP004928,CLI001356,FR,REG001376,971304,339956,631348,EUR,2023-07-16,completed,Compliant,2023-07-16 00:00:00,2023-07-16 01:50:21
PAY000074,EMP003824,CLI002091,BR,REG000192,469978,0,469978,BRL,2024-10-06,pending,Non-Compliant,2024-10-06 00:00:00,
PAY000075,EMP003558,CLI001454,UK,REG001798,894529,0,894529,GBP,2024-05-16,completed,Compliant,2024-05-16 00:00:00,2024-05-16 01:37:10
PAY000076,EMP000346,CLI004178,CA,REG000307,235833,66033,169800,CAD,2023-06-22,pending,Non-Compliant,2023-06-22 00:00:00,
PAY000077,EMP003533,CLI000817,FR,REG002268,510322,0,510322,EUR,2024-05-11,pending,Non-Compliant,2024-05-11 00:00:00,
PAY000078,EMP003020,CLI004705,ZA,REG000671,324604,55183,269421,ZAR,2024-12-05,completed,Compliant,2024-12-05 00:00:00,2024-12-05 00:15:27
PAY000079,EMP000759,CLI000177,CA,REG002711,412841,0,412841,CAD,2025-03-09,failed,Non-Compliant,2025-03-09 00:00:00,
PAY000080,EMP006590,CLI000829,AU,REG001662,436660,0,436660,AUD,2023-08-12,pending,Non-Compliant,2023-08-12 00:00:00,
PAY000081,EMP001928,CLI004483,AU,REG001107,891212,0,891212,AUD,2024-07-09,pending,Non-Compliant,2024-07-09 00:00:00,
PAY000082,EMP002617,CLI002155,DE,REG000240,178832,0,178832,EUR,2024-01-18,failed,Non-Compliant,2024-01-18 00:00:00,
PAY000083,EMP001536,CLI003897,AU,REG000926,738615,0,738615,AUD,2024-07-02,completed,Compliant,2024-07-02 00:00:00,2024-07-02 01:03:05
PAY000084,EMP003467,CLI001525,US,REG002230,995593,0,995593,USD,2024-09-11,failed,Non-Compliant,2024-09-11 00:00:00,
PAY000085,EMP006997,CLI000390,JP,REG002828,631939,0,631939,JPY,2024-12-16,failed,Non-Compliant,2024-12-16 00:00:00,
PAY000086,EMP006384,CLI000012,CA,REG001334,286487,83081,203406,CAD,2023-09-27,completed,Compliant,2023-09-27 00:00:00,2023-09-27 01:08:28
PAY000087,EMP003294,CLI000634,ZA,REG000221,820360,237904,582456,ZAR,2024-02-13,failed,Non-Compliant,2024-02-13 00:00:00,
PAY000088,EMP006034,CLI004940,ZA,REG002293,134344,0,134344,ZAR,2025-01-16,completed,Compliant,2025-01-16 00:00:00,2025-01-16 00:23:13
PAY000089,EMP000667,CLI002420,ZA,REG002455,414615,0,414615,ZAR,2024-01-05,pending,Non-Compliant,2024-01-05 00:00:00,
PAY000090,EMP004754,CLI000171,US,REG002226,656321,0,656321,USD,2023-08-31,pending,Non-Compliant,2023-08-31 00:00:00,
PAY000091,EMP002734,CLI001476,BR,REG000702,117051,0,117051,BRL,2023-09-07,pending,Non-Compliant,2023-09-07 00:00:00,
PAY000092,EMP002878,CLI000926,ZA,REG002895,486293,77807,408486,ZAR,2024-10-26,failed,Non-Compliant,2024-10-26 00:00:00,
PAY000093,EMP006568,CLI001587,FR,REG001479,384877,0,384877,EUR,2024-09-27,completed,Compliant,2024-09-27 00:00:00,2024-09-27 01:57:44
PAY000094,EMP000366,CLI003000,CA,REG001504,664760,0,664760,CAD,2024-04-23,completed,Compliant,2024-04-23 00:00:00,2024-04-23 01:00:37
PAY000095,EMP001011,CLI001254,FR,REG001127,485296,140736,344560,EUR,2024-05-12,completed,Compliant,2024-05-12 00:00:00,2024-05-12 00:07:14
PAY000096,EMP001146,CLI003733,FR,REG000580,594784,148696,446088,EUR,2023-12-08,pending,Non-Compliant,2023-12-08 00:00:00,
PAY000097,EMP002355,CLI003661,DE,REG001671,840795,0,840795,EUR,2024-11-10,completed,Compliant,2024-11-10 00:00:00,2024-11-10 00:18:34
PAY000098,EMP001959,CLI001034,FR,REG000785,355077,35508,319569,EUR,2023-12-01,completed,Compliant,2023-12-01 00:00:00,2023-12-01 00:15:25
PAY000099,EMP003632,CLI003481,AU,REG001318,819865,0,819865,AUD,2024-05-27,completed,Compliant,2024-05-27 00:00:00,2024-05-27 00:26:28
PAY000100,EMP003368,CLI001437,IN,REG001877,870304,0,870304,INR,2024-12-09,pending,Non-Compliant,2024-12-09 00:00:00,
PAY000101,EMP001815,CLI003390,FR,REG001050,177803,0,177803,EUR,2023-06-20,pending,Non-Compliant,2023-06-20 00:00:00,
PAY000102,EMP002914,CLI001192,US,REG001906,119954,0,119954,USD,2024-04-06,failed,Non-Compliant,2024-04-06 00:00:00,
PAY000103,EMP002052,CLI001227,BR,REG002483,398581,63773,334808,BRL,2025-01-20,pending,Non-Compliant,2025-01-20 00:00:00,
PAY000104,EMP003448,CLI003319,DE,REG002177,904823,180965,723858,EUR,2024-11-07,completed,Compliant,2024-11-07 00:00:00,2024-11-07 01:22:54
PAY000105,EMP005153,CLI003724,BR,REG002616,151699,0,151699,BRL,2024-05-23,failed,Non-Compliant,2024-05-23 00:00:00,
PAY000106,EMP005931,CLI002918,ZA,REG001460,106945,0,106945,ZAR,2023-09-14,completed,Compliant,2023-09-14 00:00:00,2023-09-14 01:47:23
PAY000107,EMP006130,CLI003491,JP,REG002488,538685,0,538685,JPY,2023-12-27,failed,Non-Compliant,2023-12-27 00:00:00,
PAY000108,EMP004743,CLI000622,BR,REG000019,516124,118709,397415,BRL,2025-01-14,pending,Non-Compliant,2025-01-14 00:00:00,
PAY000109,EMP006329,CLI003138,BR,REG000389,174906,62966,111940,BRL,2023-06-14,completed,Compliant,2023-06-14 00:00:00,2023-06-14 01:05:34
PAY000110,EMP003716,CLI002989,FR,REG002886,829174,232169,597005,EUR,2024-03-13,completed,Compliant,2024-03-13 00:00:00,2024-03-13 01:56:48
PAY000111,EMP006548,CLI001895,UK,REG001018,823117,0,823117,GBP,2024-06-01,failed,Non-Compliant,2024-06-01 00:00:00,
PAY000112,EMP000136,CLI002309,ZA,REG002965,345379,48353,297026,ZAR,2024-08-12,pending,Non-Compliant,2024-08-12 00:00:00,
PAY000113,EMP006013,CLI003875,UK,REG001628,883786,0,883786,GBP,2024-02-02,completed,Compliant,2024-02-02 00:00:00,2024-02-02 00:53:43
PAY000114,EMP006698,CLI001542,DE,REG000269,623514,0,623514,EUR,2025-01-04,pending,Non-Compliant,2025-01-04 00:00:00,
PAY000115,EMP001190,CLI000262,DE,REG000513,575212,0,575212,EUR,2024-09-26,failed,Non-Compliant,2024-09-26 00:00:00,
PAY000116,EMP001211,CLI004328,UK,REG001424,456350,0,456350,GBP,2025-04-10,completed,Compliant,2025-04-10 00:00:00,2025-04-10 00:36:13
PAY000117,EMP006423,CLI002710,JP,REG001959,935968,196553,739415,JPY,2025-05-15,failed,Non-Compliant,2025-05-15 00:00:00,
PAY000118,EMP006055,CLI000282,FR,REG000600,122095,0,122095,EUR,2024-05-11,failed,Non-Compliant,2024-05-11 00:00:00,
PAY000119,EMP002495,CLI002645,AU,REG000362,915327,0,915327,AUD,2023-12-10,failed,Non-Compliant,2023-12-10 00:00:00,
PAY000120,EMP005817,CLI002589,US,REG001779,553982,105257,448725,USD,2023-08-22,failed,Non-Compliant,2023-08-22 00:00:00,
PAY000121,EMP000807,CLI002330,CA,REG000256,299222,0,299222,CAD,2023-12-11,failed,Non-Compliant,2023-12-11 00:00:00,
PAY000122,EMP003205,CLI003413,AU,REG001755,323032,0,323032,AUD,2024-05-07,failed,Non-Compliant,2024-05-07 00:00:00,
PAY000123,EMP001663,CLI003017,UK,REG001225,384138,0,384138,GBP,2025-04-10,completed,Compliant,2025-04-10 00:00:00,2025-04-10 01:26:48
PAY000124,EMP005733,CLI000023,AU,REG001481,518916,0,518916,AUD,2024-07-04,completed,Compliant,2024-07-04 00:00:00,2024-07-04 01:45:14
PAY000125,EMP004732,CLI002158,UK,REG002809,207566,0,207566,GBP,2023-09-29,pending,Non-Compliant,2023-09-29 00:00:00,
PAY000126,EMP001911,CLI001201,IN,REG002372,129704,0,129704,INR,2024-06-23,pending,Non-Compliant,2024-06-23 00:00:00,
PAY000127,EMP000785,CLI003611,FR,REG002348,845609,0,845609,EUR,2024-07-31,completed,Compliant,2024-07-31 00:00:00,2024-07-31 01:31:08
PAY000128,EMP000503,CLI001389,BR,REG000581,406908,0,406908,BRL,2023-06-04,completed,Compliant,2023-06-04 00:00:00,2023-06-04 01:25:49
PAY000129,EMP004520,CLI004631,CA,REG001025,928383,0,928383,CAD,2024-06-16,completed,Compliant,2024-06-16 00:00:00,2024-06-16 01:17:32
PAY000130,EMP006101,CLI004416,AU,REG002480,504173,0,504173,AUD,2024-12-23,completed,Compliant,2024-12-23 00:00:00,2024-12-23 01:41:50
PAY000131,EMP003064,CLI003101,BR,REG001986,197597,41495,156102,BRL,2023-08-08,failed,Non-Compliant,2023-08-08 00:00:00,
PAY000132,EMP004957,CLI004950,CA,REG002124,133129,27957,105172,CAD,2024-01-19,pending,Non-Compliant,2024-01-19 00:00:00,
PAY000133,EMP000773,CLI004610,CA,REG002347,313079,53223,259856,CAD,2025-01-24,failed,Non-Compliant,2025-01-24 00:00:00,
PAY000134,EMP001957,CLI000468,BR,REG000149,162270,0,162270,BRL,2023-08-29,failed,Non-Compliant,2023-08-29 00:00:00,
PAY000135,EMP005616,CLI004830,DE,REG001717,426775,166442,260333,EUR,2024-09-14,failed,Non-Compliant,2024-09-14 00:00:00,
PAY000136,EMP000687,CLI001549,UK,REG001913,792170,0,792170,GBP,2025-05-13,failed,Non-Compliant,2025-05-13 00:00:00,
PAY000137,EMP002026,CLI003078,UK,REG000444,629972,188992,440980,GBP,2023-07-06,pending,Non-Compliant,2023-07-06 00:00:00,
PAY000138,EMP002355,CLI002111,DE,REG002369,567219,0,567219,EUR,2024-05-11,completed,Compliant,2024-05-11 00:00:00,2024-05-11 01:27:19
PAY000139,EMP005920,CLI002424,CA,REG001428,447136,0,447136,CAD,2024-04-22,completed,Compliant,2024-04-22 00:00:00,2024-04-22 01:26:17
PAY000140,EMP002907,CLI001659,DE,REG000739,400644,0,400644,EUR,2023-07-03,failed,Non-Compliant,2023-07-03 00:00:00,
PAY000141,EMP006888,CLI004075,JP,REG002095,119309,0,119309,JPY,2024-12-01,pending,Non-Compliant,2024-12-01 00:00:00,
PAY000142,EMP006983,CLI002137,FR,REG001919,106036,0,106036,EUR,2024-10-20,pending,Non-Compliant,2024-10-20 00:00:00,
PAY000143,EMP003210,CLI002624,FR,REG000902,522076,0,522076,EUR,2024-10-21,completed,Compliant,2024-10-21 00:00:00,2024-10-21 01:46:25
PAY000144,EMP003484,CLI001493,BR,REG000742,947613,0,947613,BRL,2025-05-20,failed,Non-Compliant,2025-05-20 00:00:00,
PAY000145,EMP003687,CLI001311,DE,REG000538,695474,173868,521606,EUR,2024-04-15,failed,Non-Compliant,2024-04-15 00:00:00,
PAY000146,EMP003364,CLI003137,UK,REG000123,980374,333327,647047,GBP,2023-09-02,completed,Compliant,2023-09-02 00:00:00,2023-09-02 01:40:38
PAY000147,EMP006452,CLI000163,AU,REG000357,605002,0,605002,AUD,2024-01-11,completed,Compliant,2024-01-11 00:00:00,2024-01-11 01:04:25
PAY000148,EMP006058,CLI001804,ZA,REG000569,990873,0,990873,ZAR,2024-11-15,completed,Compliant,2024-11-15 00:00:00,2024-11-15 01:47:01
PAY000149,EMP003571,CLI004829,US,REG000017,684418,0,684418,USD,2024-11-26,failed,Non-Compliant,2024-11-26 00:00:00,
PAY000150,EMP002280,CLI003828,DE,REG002751,833124,0,833124,EUR,2024-12-04,completed,Compliant,2024-12-04 00:00:00,2024-12-04 00:13:40
PAY000151,EMP000401,CLI003327,JP,REG000275,995197,258751,736446,JPY,2024-02-25,completed,Compliant,2024-02-25 00:00:00,2024-02-25 01:02:57
PAY000152,EMP005462,CLI004291,IN,REG000872,121711,23125,98586,INR,2025-01-01,failed,Non-Compliant,2025-01-01 00:00:00,
PAY000153,EMP003783,CLI000407,CA,REG002249,866023,0,866023,CAD,2023-08-28,pending,Non-Compliant,2023-08-28 00:00:00,
PAY000154,EMP000693,CLI001098,FR,REG001429,629803,0,629803,EUR,2023-10-23,failed,Non-Compliant,2023-10-23 00:00:00,
PAY000155,EMP005715,CLI000823,IN,REG002108,216498,43300,173198,INR,2024-06-02,failed,Non-Compliant,2024-06-02 00:00:00,
PAY000156,EMP000861,CLI004914,UK,REG002943,484122,121030,363092,GBP,2024-05-25,pending,Non-Compliant,2024-05-25 00:00:00,
PAY000157,EMP003286,CLI004021,IN,REG001580,125354,0,125354,INR,2024-08-09,pending,Non-Compliant,2024-08-09 00:00:00,
PAY000158,EMP003683,CLI004871,CA,REG000915,386141,0,386141,CAD,2024-06-09,failed,Non-Compliant,2024-06-09 00:00:00,
PAY000159,EMP002965,CLI000918,IN,REG002122,818341,0,818341,INR,2024-08-04,failed,Non-Compliant,2024-08-04 00:00:00,
PAY000160,EMP004856,CLI000984,IN,REG000868,133227,41300,91927,INR,2024-11-10,completed,Compliant,2024-11-10 00:00:00,2024-11-10 01:44:39
PAY000161,EMP001676,CLI004660,DE,REG001815,316142,0,316142,EUR,2024-11-26,pending,Non-Compliant,2024-11-26 00:00:00,
PAY000162,EMP006050,CLI004995,IN,REG002406,757546,0,757546,INR,2023-05-30,pending,Non-Compliant,2023-05-30 00:00:00,
PAY000163,EMP001431,CLI003476,BR,REG001825,143837,0,143837,BRL,2024-10-28,completed,Compliant,2024-10-28 00:00:00,2024-10-28 00:46:42
PAY000164,EMP003825,CLI003873,DE,REG001311,572447,0,572447,EUR,2024-04-11,failed,Non-Compliant,2024-04-11 00:00:00,
PAY000165,EMP001549,CLI001070,IN,REG001979,208583,0,208583,INR,2023-07-01,failed,Non-Compliant,2023-07-01 00:00:00,
PAY000166,EMP005986,CLI002147,US,REG000609,754245,279071,475174,USD,2024-08-14,pending,Non-Compliant,2024-08-14 00:00:00,
PAY000167,EMP004174,CLI004974,CA,REG002140,549213,0,549213,CAD,2024-11-22,pending,Non-Compliant,2024-11-22 00:00:00,
PAY000168,EMP001955,CLI002728,UK,REG001893,935657,0,935657,GBP,2024-06-18,failed,Non-Compliant,2024-06-18 00:00:00,
PAY000169,EMP005362,CLI001926,AU,REG002952,294544,0,294544,AUD,2024-01-24,pending,Non-Compliant,2024-01-24 00:00:00,
PAY000170,EMP003054,CLI003847,IN,REG002108,620820,124164,496656,INR,2024-11-15,failed,Non-Compliant,2024-11-15 00:00:00,
PAY000171,EMP006158,CLI000657,FR,REG000637,415601,0,415601,EUR,2025-02-23,completed,Compliant,2025-02-23 00:00:00,2025-02-23 01:34:08
PAY000172,EMP005010,CLI003488,JP,REG001222,727325,0,727325,JPY,2024-03-08,completed,Compliant,2024-03-08 00:00:00,2024-03-08 01:47:42
PAY000173,EMP005246,CLI004729,UK,REG000685,443371,0,443371,GBP,2024-05-14,completed,Compliant,2024-05-14 00:00:00,2024-05-14 01:01:58
PAY000174,EMP000729,CLI004712,DE,REG002743,965948,0,965948,EUR,2023-08-23,pending,Non-Compliant,2023-08-23 00:00:00,
PAY000175,EMP001549,CLI000307,IN,REG001037,315078,0,315078,INR,2024-02-24,pending,Non-Compliant,2024-02-24 00:00:00,
PAY000176,EMP001743,CLI001775,IN,REG000409,788190,0,788190,INR,2023-11-11,completed,Compliant,2023-11-11 00:00:00,2023-11-11 01:00:32
PAY000177,EMP000324,CLI001086,FR,REG001635,453983,0,453983,EUR,2024-04-24,failed,Non-Compliant,2024-04-24 00:00:00,
PAY000178,EMP004223,CLI002698,BR,REG002635,308929,0,308929,BRL,2024-06-06,pending,Non-Compliant,2024-06-06 00:00:00,
PAY000179,EMP006906,CLI001112,BR,REG001675,481173,96235,384938,BRL,2025-03-23,completed,Compliant,2025-03-23 00:00:00,2025-03-23 00:25:34
PAY000180,EMP004900,CLI002077,JP,REG001643,960494,0,960494,JPY,2023-07-09,failed,Non-Compliant,2023-07-09 00:00:00,
PAY000181,EMP003932,CLI003303,FR,REG002539,202363,0,202363,EUR,2024-10-12,completed,Compliant,2024-10-12 00:00:00,2024-10-12 01:09:41
PAY000182,EMP004840,CLI003703,DE,REG002798,361345,93950,267395,EUR,2024-12-16,completed,Compliant,2024-12-16 00:00:00,2024-12-16 00:48:00
PAY000183,EMP001890,CLI001810,FR,REG002788,820579,0,820579,EUR,2023-08-02,completed,Compliant,2023-08-02 00:00:00,2023-08-02 00:21:40
PAY000184,EMP000677,CLI003534,DE,REG002106,514081,159365,354716,EUR,2024-04-10,failed,Non-Compliant,2024-04-10 00:00:00,
PAY000185,EMP002749,CLI003599,AU,REG000027,610892,0,610892,AUD,2024-07-07,completed,Compliant,2024-07-07 00:00:00,2024-07-07 00:37:34
PAY000186,EMP003059,CLI003951,FR,REG000321,393091,98273,294818,EUR,2024-06-03,pending,Non-Compliant,2024-06-03 00:00:00,
PAY000187,EMP005674,CLI004608,ZA,REG002310,534264,197678,336586,ZAR,2025-05-20,failed,Non-Compliant,2025-05-20 00:00:00,
PAY000188,EMP000646,CLI001028,BR,REG002496,283456,0,283456,BRL,2024-09-04,pending,Non-Compliant,2024-09-04 00:00:00,
