regulation_id,country_id,rule_type,description,effective_date,end_date,is_active,tax_rate,compliance_category
REG000082,JP,Social Security,Social Security regulation for Japan in 2023,2023-06-03,2024-10-24,False,0.31,Payroll Reporting
REG000083,UK,Payroll Reporting,Payroll Reporting regulation for United Kingdom in 2024,2024-02-16,9999-12-31,True,,Payroll Reporting
REG000084,US,Minimum Wage,Minimum Wage regulation for United States in 2025,2025-01-20,9999-12-31,True,,Payroll Reporting
REG000085,FR,Overtime Pay,Overtime Pay regulation for France in 2024,2024-01-08,9999-12-31,True,,Labor Law
REG000086,FR,Employee Benefits,Employee Benefits regulation for France in 2024,2024-04-06,2025-04-24,False,,Taxation
REG000087,BR,Social Security,Social Security regulation for Brazil in 2023,2023-07-15,2025-01-07,False,0.13,Payroll Reporting
REG000088,US,Social Security,Social Security regulation for United States in 2025,2025-01-02,9999-12-31,True,0.2,Payroll Reporting
REG000089,JP,Employee Benefits,Employee Benefits regulation for Japan in 2025,2025-02-24,9999-12-31,True,,Labor Law
REG000090,DE,Minimum Wage,Minimum Wage regulation for Germany in 2024,2024-06-02,9999-12-31,True,,Payroll Reporting
REG000091,AU,Employee Benefits,Employee Benefits regulation for Australia in 2024,2024-05-22,2026-05-11,False,,Payroll Reporting
REG000092,BR,Employee Benefits,Employee Benefits regulation for Brazil in 2024,2024-07-07,9999-12-31,True,,Labor Law
REG000093,DE,Employee Benefits,Employee Benefits regulation for Germany in 2024,2024-09-23,2025-08-07,False,,Labor Law
REG000094,IN,Income Tax,Income Tax regulation for India in 2025,2025-02-17,9999-12-31,True,0.32,Labor Law
REG000095,DE,Overtime Pay,Overtime Pay regulation for Germany in 2024,2024-10-07,9999-12-31,True,,Payroll Reporting
REG000096,ZA,Social Security,Social Security regulation for South Africa in 2023,2023-12-09,2025-04-14,False,0.38,Payroll Reporting
REG000097,AU,Employee Benefits,Employee Benefits regulation for Australia in 2025,2025-04-10,9999-12-31,True,,Labor Law
REG000098,UK,Payroll Reporting,Payroll Reporting regulation for United Kingdom in 2023,2023-09-14,2024-08-31,False,,Payroll Reporting
REG000099,IN,Social Security,Social Security regulation for India in 2024,2024-01-29,9999-12-31,True,0.36,Taxation
REG000100,UK,Payroll Reporting,Payroll Reporting regulation for United Kingdom in 2024,2024-03-27,9999-12-31,True,,Labor Law
REG000101,DE,Social Security,Social Security regulation for Germany in 2024,2024-09-22,2026-06-21,False,0.15,Labor Law
REG000102,BR,Payroll Reporting,Payroll Reporting regulation for Brazil in 2023,2023-05-30,2024-05-28,False,,Payroll Reporting
REG000103,US,Income Tax,Income Tax regulation for United States in 2024,2024-02-24,9999-12-31,True,0.34,Taxation
REG000104,CA,Income Tax,Income Tax regulation for Canada in 2024,2024-04-20,2025-04-14,False,0.28,Taxation
REG000105,ZA,Employee Benefits,Employee Benefits regulation for South Africa in 2024,2024-06-26,2026-01-30,False,,Taxation
REG000106,FR,Income Tax,Income Tax regulation for France in 2023,2023-06-29,9999-12-31,True,0.22,Taxation
REG000107,CA,Minimum Wage,Minimum Wage regulation for Canada in 2025,2025-02-01,9999-12-31,True,,Taxation
REG000108,ZA,Minimum Wage,Minimum Wage regulation for South Africa in 2023,2023-09-15,2024-09-27,False,,Taxation
REG000109,UK,Overtime Pay,Overtime Pay regulation for United Kingdom in 2023,2023-11-13,2024-06-20,False,,Taxation
REG000110,BR,Payroll Reporting,Payroll Reporting regulation for Brazil in 2024,2024-10-02,9999-12-31,True,,Taxation
REG000111,UK,Payroll Reporting,Payroll Reporting regulation for United Kingdom in 2024,2024-11-26,9999-12-31,True,,Taxation
REG000112,AU,Social Security,Social Security regulation for Australia in 2025,2025-04-12,9999-12-31,True,0.26,Taxation
REG000113,IN,Social Security,Social Security regulation for India in 2024,2024-06-11,2026-03-27,False,0.13,Payroll Reporting
REG000114,BR,Overtime Pay,Overtime Pay regulation for Brazil in 2024,2024-01-21,9999-12-31,True,,Payroll Reporting
REG000115,US,Overtime Pay,Overtime Pay regulation for United States in 2023,2023-11-13,9999-12-31,True,,Payroll Reporting
REG000116,IN,Overtime Pay,Overtime Pay regulation for India in 2024,2024-11-06,2025-06-12,False,,Labor Law
REG000117,DE,Minimum Wage,Minimum Wage regulation for Germany in 2024,2024-03-20,2025-01-07,False,,Payroll Reporting
REG000118,DE,Income Tax,Income Tax regulation for Germany in 2024,2024-01-24,2025-10-11,False,0.36,Labor Law
REG000119,CA,Social Security,Social Security regulation for Canada in 2025,2025-03-19,9999-12-31,True,0.31,Payroll Reporting
REG000120,AU,Income Tax,Income Tax regulation for Australia in 2023,2023-07-06,9999-12-31,True,0.27,Taxation
REG000121,FR,Social Security,Social Security regulation for France in 2023,2023-06-25,9999-12-31,True,0.18,Taxation
REG000122,FR,Overtime Pay,Overtime Pay regulation for France in 2024,2024-08-14,9999-12-31,True,,Taxation
REG000123,UK,Social Security,Social Security regulation for United Kingdom in 2023,2023-10-13,9999-12-31,True,0.34,Taxation
REG000124,US,Employee Benefits,Employee Benefits regulation for United States in 2023,2023-07-13,2024-10-24,False,,Payroll Reporting
REG000125,UK,Overtime Pay,Overtime Pay regulation for United Kingdom in 2025,2025-05-03,9999-12-31,True,,Labor Law
REG000126,IN,Social Security,Social Security regulation for India in 2023,2023-12-31,9999-12-31,True,0.22,Labor Law
REG000127,CA,Income Tax,Income Tax regulation for Canada in 2024,2024-09-11,9999-12-31,True,0.24,Labor Law
REG000128,FR,Employee Benefits,Employee Benefits regulation for France in 2025,2025-02-03,9999-12-31,True,,Labor Law
REG000129,JP,Minimum Wage,Minimum Wage regulation for Japan in 2023,2023-09-04,2025-05-06,False,,Taxation
REG000130,DE,Employee Benefits,Employee Benefits regulation for Germany in 2024,2024-01-26,9999-12-31,True,,Labor Law
REG000131,ZA,Minimum Wage,Minimum Wage regulation for South Africa in 2024,2024-06-21,9999-12-31,True,,Payroll Reporting
REG000132,US,Minimum Wage,Minimum Wage regulation for United States in 2023,2023-09-10,2024-05-18,False,,Labor Law
REG000133,AU,Minimum Wage,Minimum Wage regulation for Australia in 2023,2023-07-27,9999-12-31,True,,Payroll Reporting
REG000134,JP,Overtime Pay,Overtime Pay regulation for Japan in 2023,2023-07-02,9999-12-31,True,,Taxation
REG000135,FR,Payroll Reporting,Payroll Reporting regulation for France in 2023,2023-10-18,9999-12-31,True,,Taxation
REG000136,CA,Employee Benefits,Employee Benefits regulation for Canada in 2025,2025-02-20,9999-12-31,True,,Taxation
REG000137,US,Social Security,Social Security regulation for United States in 2023,2023-07-11,2024-08-18,False,0.23,Labor Law
REG000138,CA,Income Tax,Income Tax regulation for Canada in 2024,2024-09-15,2025-09-02,False,0.17,Labor Law
REG000139,DE,Minimum Wage,Minimum Wage regulation for Germany in 2024,2024-09-01,9999-12-31,True,,Payroll Reporting
REG000140,DE,Payroll Reporting,Payroll Reporting regulation for Germany in 2023,2023-11-10,2025-08-10,False,,Payroll Reporting
REG000141,US,Social Security,Social Security regulation for United States in 2025,2025-03-18,9999-12-31,True,0.21,Labor Law
REG000142,JP,Minimum Wage,Minimum Wage regulation for Japan in 2024,2024-05-18,9999-12-31,True,,Labor Law
REG000143,IN,Overtime Pay,Overtime Pay regulation for India in 2024,2024-10-28,9999-12-31,True,,Labor Law
REG000144,FR,Social Security,Social Security regulation for France in 2024,2024-12-01,9999-12-31,True,0.25,Payroll Reporting
REG000145,CA,Income Tax,Income Tax regulation for Canada in 2023,2023-09-23,9999-12-31,True,0.39,Taxation
REG000146,ZA,Minimum Wage,Minimum Wage regulation for South Africa in 2024,2024-06-03,9999-12-31,True,,Payroll Reporting
REG000147,AU,Employee Benefits,Employee Benefits regulation for Australia in 2024,2024-04-20,2026-02-22,False,,Payroll Reporting
REG000148,CA,Social Security,Social Security regulation for Canada in 2024,2024-09-15,9999-12-31,True,0.22,Labor Law
REG000149,BR,Minimum Wage,Minimum Wage regulation for Brazil in 2024,2024-06-29,9999-12-31,True,,Taxation
REG000150,ZA,Social Security,Social Security regulation for South Africa in 2024,2024-03-25,2026-03-21,False,0.12,Payroll Reporting
REG000151,DE,Income Tax,Income Tax regulation for Germany in 2024,2024-01-16,2025-11-26,False,0.35,Payroll Reporting
REG000152,DE,Employee Benefits,Employee Benefits regulation for Germany in 2025,2025-03-21,9999-12-31,True,,Taxation
REG000153,CA,Social Security,Social Security regulation for Canada in 2024,2024-05-11,2026-04-08,False,0.39,Payroll Reporting
REG000154,CA,Minimum Wage,Minimum Wage regulation for Canada in 2025,2025-01-16,9999-12-31,True,,Taxation
REG000155,FR,Income Tax,Income Tax regulation for France in 2024,2024-11-15,2026-06-02,False,0.12,Labor Law
REG000156,AU,Overtime Pay,Overtime Pay regulation for Australia in 2025,2025-01-13,9999-12-31,True,,Labor Law
REG000157,DE,Overtime Pay,Overtime Pay regulation for Germany in 2024,2024-03-13,9999-12-31,True,,Payroll Reporting
REG000158,DE,Social Security,Social Security regulation for Germany in 2024,2024-10-14,2025-06-19,False,0.21,Labor Law
REG000159,UK,Payroll Reporting,Payroll Reporting regulation for United Kingdom in 2024,2024-03-21,2026-02-28,False,,Payroll Reporting
REG000160,ZA,Payroll Reporting,Payroll Reporting regulation for South Africa in 2025,2025-03-25,9999-12-31,True,,Taxation
REG000161,US,Social Security,Social Security regulation for United States in 2024,2024-04-23,2026-02-18,False,0.38,Taxation
REG000162,ZA,Income Tax,Income Tax regulation for South Africa in 2024,2024-06-02,9999-12-31,True,0.33,Labor Law
REG000163,AU,Income Tax,Income Tax regulation for Australia in 2023,2023-08-26,2025-03-22,False,0.11,Taxation
REG000164,AU,Overtime Pay,Overtime Pay regulation for Australia in 2023,2023-09-02,2024-04-03,False,,Labor Law
REG000165,US,Social Security,Social Security regulation for United States in 2024,2024-02-23,9999-12-31,True,0.23,Labor Law
REG000166,ZA,Payroll Reporting,Payroll Reporting regulation for South Africa in 2025,2025-02-18,9999-12-31,True,,Taxation
REG000167,BR,Income Tax,Income Tax regulation for Brazil in 2023,2023-06-06,2025-04-10,False,0.29,Payroll Reporting
REG000168,BR,Income Tax,Income Tax regulation for Brazil in 2024,2024-03-18,2026-01-09,False,0.31,Taxation
REG000169,JP,Social Security,Social Security regulation for Japan in 2023,2023-10-20,9999-12-31,True,0.32,Labor Law
REG000170,DE,Overtime Pay,Overtime Pay regulation for Germany in 2024,2024-02-07,2024-10-27,False,,Payroll Reporting
REG000171,US,Payroll Reporting,Payroll Reporting regulation for United States in 2023,2023-10-11,2025-09-10,False,,Payroll Reporting
REG000172,JP,Overtime Pay,Overtime Pay regulation for Japan in 2024,2024-08-28,2025-10-05,False,,Payroll Reporting
REG000173,AU,Employee Benefits,Employee Benefits regulation for Australia in 2024,2024-03-31,9999-12-31,True,,Labor Law
REG000174,FR,Social Security,Social Security regulation for France in 2024,2024-08-18,2025-09-11,False,0.19,Taxation
REG000175,JP,Employee Benefits,Employee Benefits regulation for Japan in 2024,2024-09-11,2026-04-23,False,,Taxation
REG000176,AU,Employee Benefits,Employee Benefits regulation for Australia in 2023,2023-07-21,2024-02-08,False,,Payroll Reporting
REG000177,CA,Payroll Reporting,Payroll Reporting regulation for Canada in 2025,2025-03-27,9999-12-31,True,,Taxation
REG000178,IN,Income Tax,Income Tax regulation for India in 2025,2025-02-06,9999-12-31,True,0.31,Taxation
REG000179,CA,Employee Benefits,Employee Benefits regulation for Canada in 2025,2025-01-09,9999-12-31,True,,Payroll Reporting
REG000180,DE,Employee Benefits,Employee Benefits regulation for Germany in 2023,2023-09-03,9999-12-31,True,,Payroll Reporting
REG000181,DE,Employee Benefits,Employee Benefits regulation for Germany in 2025,2025-03-04,9999-12-31,True,,Payroll Reporting
REG000182,FR,Income Tax,Income Tax regulation for France in 2024,2024-02-14,2025-09-16,False,0.16,Taxation
REG000183,UK,Overtime Pay,Overtime Pay regulation for United Kingdom in 2023,2023-09-21,9999-12-31,True,,Payroll Reporting
REG000184,US,Overtime Pay,Overtime Pay regulation for United States in 2023,2023-08-03,9999-12-31,True,,Payroll Reporting
REG000185,ZA,Social Security,Social Security regulation for South Africa in 2025,2025-02-06,9999-12-31,True,0.33,Payroll Reporting
REG000186,ZA,Income Tax,Income Tax regulation for South Africa in 2025,2025-05-13,9999-12-31,True,0.3,Payroll Reporting
REG000187,JP,Social Security,Social Security regulation for Japan in 2024,2024-09-29,2025-07-28,False,0.27,Labor Law
REG000188,AU,Social Security,Social Security regulation for Australia in 2024,2024-07-25,9999-12-31,True,0.24,Labor Law
REG000189,US,Payroll Reporting,Payroll Reporting regulation for United States in 2025,2025-01-06,9999-12-31,True,,Labor Law
REG000190,CA,Payroll Reporting,Payroll Reporting regulation for Canada in 2024,2024-07-22,2025-07-12,False,,Labor Law
REG000191,ZA,Minimum Wage,Minimum Wage regulation for South Africa in 2023,2023-06-19,9999-12-31,True,,Taxation
REG000192,BR,Employee Benefits,Employee Benefits regulation for Brazil in 2023,2023-11-15,9999-12-31,True,,Taxation
REG000193,BR,Minimum Wage,Minimum Wage regulation for Brazil in 2025,2025-02-14,9999-12-31,True,,Labor Law
REG000194,ZA,Employee Benefits,Employee Benefits regulation for South Africa in 2025,2025-02-16,9999-12-31,True,,Taxation
REG000195,UK,Minimum Wage,Minimum Wage regulation for United Kingdom in 2024,2024-03-31,2025-11-29,False,,Labor Law
REG000196,US,Overtime Pay,Overtime Pay regulation for United States in 2023,2023-12-13,9999-12-31,True,,Taxation
REG000197,ZA,Minimum Wage,Minimum Wage regulation for South Africa in 2023,2023-07-14,2024-07-22,False,,Taxation
REG000198,AU,Minimum Wage,Minimum Wage regulation for Australia in 2024,2024-09-14,9999-12-31,True,,Labor Law
REG000199,BR,Payroll Reporting,Payroll Reporting regulation for Brazil in 2023,2023-10-12,2024-12-16,False,,Taxation
REG000200,IN,Employee Benefits,Employee Benefits regulation for India in 2024,2024-12-12,9999-12-31,True,,Labor Law
REG000201,JP,Income Tax,Income Tax regulation for Japan in 2025,2025-01-05,9999-12-31,True,0.22,Payroll Reporting
REG000202,US,Overtime Pay,Overtime Pay regulation for United States in 2023,2023-05-27,2024-08-26,False,,Payroll Reporting
REG000203,BR,Employee Benefits,Employee Benefits regulation for Brazil in 2024,2024-09-16,9999-12-31,True,,Labor Law
REG000204,JP,Payroll Reporting,Payroll Reporting regulation for Japan in 2023,2023-07-08,9999-12-31,True,,Taxation
REG000205,DE,Employee Benefits,Employee Benefits regulation for Germany in 2024,2024-04-14,2025-03-05,False,,Payroll Reporting
REG000206,JP,Income Tax,Income Tax regulation for Japan in 2024,2024-07-29,2025-01-26,False,0.16,Labor Law
REG000207,US,Income Tax,Income Tax regulation for United States in 2023,2023-12-24,2024-08-15,False,0.38,Taxation
REG000208,DE,Employee Benefits,Employee Benefits regulation for Germany in 2023,2023-07-11,2024-02-19,False,,Labor Law
REG000209,US,Social Security,Social Security regulation for United States in 2024,2024-08-05,9999-12-31,True,0.25,Payroll Reporting
REG000210,US,Payroll Reporting,Payroll Reporting regulation for United States in 2023,2023-10-19,9999-12-31,True,,Labor Law
REG000211,IN,Overtime Pay,Overtime Pay regulation for India in 2024,2024-06-10,9999-12-31,True,,Payroll Reporting
REG000212,IN,Payroll Reporting,Payroll Reporting regulation for India in 2025,2025-02-22,9999-12-31,True,,Labor Law
REG000213,JP,Social Security,Social Security regulation for Japan in 2024,2024-03-10,2025-07-09,False,0.35,Labor Law
REG000214,US,Employee Benefits,Employee Benefits regulation for United States in 2025,2025-01-10,9999-12-31,True,,Taxation
REG000215,FR,Social Security,Social Security regulation for France in 2023,2023-06-13,2024-06-15,False,0.29,Labor Law
REG000216,CA,Income Tax,Income Tax regulation for Canada in 2025,2025-03-05,9999-12-31,True,0.12,Payroll Reporting
REG000217,US,Overtime Pay,Overtime Pay regulation for United States in 2025,2025-04-20,9999-12-31,True,,Payroll Reporting
REG000218,UK,Employee Benefits,Employee Benefits regulation for United Kingdom in 2024,2024-02-07,2024-11-25,False,,Taxation
REG000219,FR,Overtime Pay,Overtime Pay regulation for France in 2024,2024-02-09,2024-12-20,False,,Taxation
REG000220,JP,Income Tax,Income Tax regulation for Japan in 2024,2024-01-07,9999-12-31,True,0.35,Taxation
REG000221,ZA,Income Tax,Income Tax regulation for South Africa in 2024,2024-07-18,2025-03-13,False,0.29,Taxation
REG000222,DE,Social Security,Social Security regulation for Germany in 2024,2024-11-04,2026-02-14,False,0.18,Labor Law
REG000223,ZA,Overtime Pay,Overtime Pay regulation for South Africa in 2024,2024-01-25,9999-12-31,True,,Payroll Reporting
REG000224,CA,Minimum Wage,Minimum Wage regulation for Canada in 2024,2024-09-14,2025-03-19,False,,Taxation
REG000225,IN,Income Tax,Income Tax regulation for India in 2024,2024-10-03,2025-08-25,False,0.19,Payroll Reporting
REG000226,AU,Social Security,Social Security regulation for Australia in 2024,2024-01-04,2024-07-21,False,0.28,Taxation
REG000227,BR,Overtime Pay,Overtime Pay regulation for Brazil in 2024,2024-01-13,2025-03-22,False,,Taxation
REG000228,IN,Payroll Reporting,Payroll Reporting regulation for India in 2024,2024-07-23,2026-04-26,False,,Labor Law
REG000229,US,Social Security,Social Security regulation for United States in 2025,2025-04-13,9999-12-31,True,0.28,Payroll Reporting
REG000230,FR,Income Tax,Income Tax regulation for France in 2023,2023-09-28,9999-12-31,True,0.38,Labor Law
REG000231,BR,Overtime Pay,Overtime Pay regulation for Brazil in 2024,2024-12-04,2025-10-16,False,,Payroll Reporting
REG000232,CA,Income Tax,Income Tax regulation for Canada in 2025,2025-02-19,9999-12-31,True,0.21,Taxation
REG000233,DE,Minimum Wage,Minimum Wage regulation for Germany in 2025,2025-01-19,9999-12-31,True,,Payroll Reporting
REG000234,UK,Employee Benefits,Employee Benefits regulation for United Kingdom in 2023,2023-08-20,2025-02-26,False,,Labor Law
REG000235,US,Social Security,Social Security regulation for United States in 2023,2023-08-30,2024-11-30,False,0.35,Payroll Reporting
REG000236,JP,Social Security,Social Security regulation for Japan in 2024,2024-04-08,9999-12-31,True,0.21,Payroll Reporting
REG000237,ZA,Overtime Pay,Overtime Pay regulation for South Africa in 2024,2024-06-03,2025-08-11,False,,Payroll Reporting
REG000238,AU,Minimum Wage,Minimum Wage regulation for Australia in 2024,2024-08-08,2026-03-31,False,,Taxation
