audit_id,employee_id,regulation_id,check_date,result,violation_details
AUD000037,EMP000146,REG002325,2025-04-25,pass,
AUD000038,EMP004068,REG001267,2024-02-21,pass,
AUD000039,EMP000239,REG000276,2024-09-12,fail,Violation in Overtime Pay
AUD000040,EMP000433,REG000909,2024-06-20,fail,Violation in Minimum Wage
AUD000041,EMP006585,REG000025,2024-11-23,fail,Violation in Social Security
AUD000042,EMP004670,REG002983,2024-01-26,pass,
AUD000043,EMP004932,REG002417,2023-12-08,fail,Violation in Minimum Wage
AUD000044,EMP006014,REG002930,2024-03-15,pass,
AUD000045,EMP000386,REG001297,2025-03-23,fail,Violation in Overtime Pay
AUD000046,EMP004798,REG000521,2024-06-26,fail,Violation in Payroll Reporting
AUD000047,EMP006326,REG002756,2023-11-13,pass,
AUD000048,EMP006071,REG001952,2024-07-03,fail,Violation in Overtime Pay
AUD000049,EMP001398,REG001373,2023-08-22,fail,Violation in Social Security
AUD000050,EMP004282,REG001678,2024-08-22,pass,
AUD000051,EMP002525,REG000559,2024-04-11,fail,Violation in Employee Benefits
AUD000052,EMP004091,REG000557,2024-02-13,fail,Violation in Income Tax
AUD000053,EMP000051,REG002713,2025-02-14,fail,Violation in Income Tax
AUD000054,EMP003997,REG001669,2024-10-04,pass,
AUD000055,EMP002648,REG001874,2024-09-08,pass,
AUD000056,EMP001096,REG002749,2023-09-21,pass,
AUD000057,EMP005290,REG000984,2025-03-07,fail,Violation in Social Security
AUD000058,EMP005176,REG002820,2024-08-04,pass,
AUD000059,EMP005149,REG000318,2024-04-12,fail,Violation in Social Security
AUD000060,EMP004543,REG002937,2024-02-09,fail,Violation in Minimum Wage
AUD000061,EMP005523,REG000080,2023-11-02,fail,Violation in Payroll Reporting
AUD000062,EMP005724,REG002412,2024-05-15,fail,Violation in Overtime Pay
AUD000063,EMP005649,REG001375,2023-11-14,pass,
AUD000064,EMP000093,REG001601,2024-10-11,fail,Violation in Minimum Wage
AUD000065,EMP006344,REG000568,2023-08-02,fail,Violation in Employee Benefits
AUD000066,EMP000839,REG001817,2024-03-05,pass,
AUD000067,EMP006284,REG002528,2023-12-11,fail,Violation in Income Tax
AUD000068,EMP001135,REG002476,2025-01-30,fail,Violation in Payroll Reporting
AUD000069,EMP004016,REG002303,2023-12-26,fail,Violation in Minimum Wage
AUD000070,EMP000839,REG002311,2023-09-26,fail,Violation in Employee Benefits
AUD000071,EMP001982,REG002428,2023-11-13,fail,Violation in Income Tax
AUD000072,EMP003343,REG002075,2024-04-03,fail,Violation in Social Security
AUD000073,EMP004553,REG001705,2023-10-16,fail,Violation in Employee Benefits
AUD000074,EMP001687,REG002360,2024-11-21,pass,
AUD000075,EMP003095,REG001521,2025-05-19,pass,
AUD000076,EMP003252,REG000340,2024-09-18,pass,
AUD000077,EMP000773,REG001975,2023-09-17,fail,Violation in Income Tax
AUD000078,EMP004814,REG001769,2024-05-24,pass,
AUD000079,EMP002545,REG000438,2024-03-31,fail,Violation in Minimum Wage
AUD000080,EMP000963,REG002162,2025-02-26,fail,Violation in Employee Benefits
AUD000081,EMP002464,REG002643,2025-05-16,pass,
AUD000082,EMP002576,REG002353,2023-06-23,pass,
AUD000083,EMP002235,REG001030,2024-10-01,pass,
AUD000084,EMP002659,REG000467,2024-05-24,pass,
AUD000085,EMP001004,REG000437,2025-05-02,pass,
AUD000086,EMP001356,REG002704,2023-07-30,pass,
AUD000087,EMP005682,REG000566,2023-11-19,fail,Violation in Income Tax
AUD000088,EMP004682,REG000273,2023-07-22,fail,Violation in Payroll Reporting
AUD000089,EMP000627,REG000210,2024-01-14,pass,
AUD000090,EMP000735,REG000695,2023-08-26,pass,
AUD000091,EMP006607,REG000437,2023-05-28,fail,Violation in Social Security
AUD000092,EMP006653,REG001423,2024-10-16,fail,Violation in Employee Benefits
AUD000093,EMP002115,REG002673,2024-09-01,pass,
AUD000094,EMP002566,REG002514,2023-09-06,fail,Violation in Minimum Wage
AUD000095,EMP000790,REG001399,2023-11-04,pass,
AUD000096,EMP001546,REG002386,2025-03-23,pass,
AUD000097,EMP001524,REG000356,2024-05-29,pass,
AUD000098,EMP002109,REG001588,2024-08-20,pass,
AUD000099,EMP002151,REG002530,2023-09-23,pass,
AUD000100,EMP004169,REG000139,2024-08-13,fail,Violation in Minimum Wage
AUD000101,EMP000353,REG000956,2024-02-09,fail,Violation in Employee Benefits
AUD000102,EMP004238,REG001680,2024-02-13,fail,Violation in Income Tax
AUD000103,EMP002205,REG000962,2025-02-08,fail,Violation in Payroll Reporting
AUD000104,EMP005684,REG001449,2025-03-27,pass,
AUD000105,EMP002703,REG001352,2025-02-23,pass,
AUD000106,EMP005544,REG001526,2023-10-21,fail,Violation in Employee Benefits
AUD000107,EMP000497,REG000888,2023-07-15,fail,Violation in Employee Benefits
AUD000108,EMP005116,REG000574,2024-09-06,fail,Violation in Overtime Pay
AUD000109,EMP006749,REG001480,2024-02-10,fail,Violation in Income Tax
AUD000110,EMP003323,REG002227,2024-06-17,pass,
AUD000111,EMP000012,REG002606,2023-10-03,pass,
AUD000112,EMP004683,REG002422,2025-03-08,pass,
AUD000113,EMP001077,REG001377,2024-10-25,pass,
AUD000114,EMP005899,REG002586,2025-03-17,fail,Violation in Payroll Reporting
AUD000115,EMP000208,REG002685,2024-03-11,fail,Violation in Income Tax
AUD000116,EMP005671,REG001231,2025-04-06,pass,
AUD000117,EMP006781,REG001572,2025-01-27,fail,Violation in Overtime Pay
AUD000118,EMP002870,REG001171,2025-05-10,fail,Violation in Income Tax
AUD000119,EMP002948,REG000241,2024-03-16,pass,
AUD000120,EMP004665,REG000077,2024-01-24,pass,
AUD000121,EMP004207,REG001604,2025-03-05,fail,Violation in Employee Benefits
AUD000122,EMP005738,REG002678,2024-06-24,pass,
AUD000123,EMP001133,REG002599,2024-10-03,fail,Violation in Minimum Wage
AUD000124,EMP002281,REG000005,2023-06-09,pass,
AUD000125,EMP003692,REG002738,2023-10-24,pass,
AUD000126,EMP003439,REG000704,2023-09-26,fail,Violation in Income Tax
AUD000127,EMP004523,REG001625,2023-07-13,fail,Violation in Overtime Pay
AUD000128,EMP000891,REG001370,2023-10-14,fail,Violation in Employee Benefits
AUD000129,EMP004910,REG000214,2023-08-03,fail,Violation in Employee Benefits
AUD000130,EMP002345,REG002414,2025-02-08,fail,Violation in Payroll Reporting
AUD000131,EMP000671,REG001838,2024-01-05,pass,
AUD000132,EMP004018,REG002882,2024-01-21,pass,
AUD000133,EMP003283,REG000107,2024-07-02,fail,Violation in Minimum Wage
AUD000134,EMP000172,REG002892,2023-09-08,pass,
AUD000135,EMP002040,REG002724,2024-01-12,pass,
AUD000136,EMP000093,REG000083,2024-11-21,pass,
AUD000137,EMP005586,REG000890,2024-01-13,fail,Violation in Social Security
AUD000138,EMP004393,REG000040,2024-03-01,fail,Violation in Minimum Wage
AUD000139,EMP005225,REG002225,2025-02-09,pass,
AUD000140,EMP005127,REG001281,2025-05-26,fail,Violation in Minimum Wage
AUD000141,EMP002572,REG001525,2023-10-23,pass,
AUD000142,EMP000039,REG000683,2023-09-20,pass,
AUD000143,EMP001482,REG000907,2024-07-07,pass,
AUD000144,EMP001046,REG002459,2024-06-20,pass,
AUD000145,EMP003266,REG000084,2024-11-10,pass,
AUD000146,EMP006511,REG001849,2024-11-07,pass,
AUD000147,EMP006337,REG000896,2023-08-19,pass,
AUD000148,EMP001864,REG000874,2024-09-23,fail,Violation in Employee Benefits
AUD000149,EMP001176,REG001333,2025-03-08,fail,Violation in Overtime Pay
AUD000150,EMP002122,REG000776,2024-10-11,fail,Violation in Minimum Wage
AUD000151,EMP000584,REG001966,2024-05-15,pass,
AUD000152,EMP004225,REG001063,2023-12-21,pass,
AUD000153,EMP002083,REG002816,2025-04-16,fail,Violation in Income Tax
AUD000154,EMP004439,REG000868,2025-03-09,pass,
AUD000155,EMP001758,REG000972,2024-06-14,pass,
AUD000156,EMP001445,REG002672,2023-05-31,fail,Violation in Employee Benefits
AUD000157,EMP003481,REG001923,2024-06-04,pass,
AUD000158,EMP004929,REG002549,2023-06-20,pass,
AUD000159,EMP000371,REG002404,2023-09-11,pass,
AUD000160,EMP006275,REG002418,2023-11-18,fail,Violation in Social Security
AUD000161,EMP001612,REG000714,2025-01-23,pass,
AUD000162,EMP001965,REG001152,2024-01-29,fail,Violation in Minimum Wage
AUD000163,EMP006166,REG001573,2023-07-07,pass,
AUD000164,EMP000660,REG001271,2024-09-27,fail,Violation in Social Security
AUD000165,EMP005423,REG002050,2024-06-12,fail,Violation in Employee Benefits
AUD000166,EMP002108,REG002367,2024-07-25,pass,
AUD000167,EMP001264,REG002412,2024-04-30,pass,
AUD000168,EMP005852,REG000264,2023-12-25,fail,Violation in Income Tax
AUD000169,EMP004226,REG002911,2024-01-03,fail,Violation in Employee Benefits
AUD000170,EMP006571,REG001539,2025-02-02,fail,Violation in Social Security
AUD000171,EMP001354,REG001047,2023-06-10,fail,Violation in Payroll Reporting
AUD000172,EMP005024,REG002287,2024-03-08,pass,
AUD000173,EMP000260,REG001153,2025-05-22,fail,Violation in Employee Benefits
AUD000174,EMP002073,REG002429,2024-02-24,fail,Violation in Minimum Wage
AUD000175,EMP005306,REG000264,2024-05-03,pass,
AUD000176,EMP006416,REG002275,2023-11-12,fail,Violation in Social Security
AUD000177,EMP006935,REG001085,2023-11-19,pass,
AUD000178,EMP006014,REG000296,2023-08-08,pass,
AUD000179,EMP003278,REG000021,2024-12-11,pass,
AUD000180,EMP000016,REG002299,2024-05-13,fail,Violation in Employee Benefits
AUD000181,EMP001992,REG002336,2024-03-10,fail,Violation in Employee Benefits
AUD000182,EMP003956,REG002009,2025-05-01,fail,Violation in Minimum Wage
AUD000183,EMP004764,REG002740,2024-09-23,fail,Violation in Payroll Reporting
AUD000184,EMP003985,REG000493,2023-09-30,fail,Violation in Minimum Wage
AUD000185,EMP003832,REG001137,2024-01-02,pass,
AUD000186,EMP001905,REG001698,2024-11-05,pass,
AUD000187,EMP004108,REG001053,2023-09-12,fail,Violation in Employee Benefits
AUD000188,EMP006273,REG002803,2024-01-24,pass,
AUD000189,EMP001510,REG001251,2023-11-15,fail,Violation in Minimum Wage
AUD000190,EMP006400,REG000269,2024-06-27,fail,Violation in Minimum Wage
AUD000191,EMP003578,REG002755,2024-05-05,fail,Violation in Payroll Reporting
AUD000192,EMP005562,REG002314,2023-07-14,fail,Violation in Social Security
AUD000193,EMP006242,REG000559,2024-03-18,pass,
AUD000194,EMP003795,REG002708,2024-07-18,pass,
AUD000195,EMP001256,REG000228,2024-07-09,fail,Violation in Payroll Reporting
AUD000196,EMP004961,REG001953,2023-10-28,pass,
AUD000197,EMP002292,REG002568,2024-11-02,pass,
AUD000198,EMP004705,REG002920,2024-10-23,fail,Violation in Income Tax
AUD000199,EMP001296,REG000814,2024-06-27,fail,Violation in Social Security
AUD000200,EMP005382,REG000597,2024-11-09,fail,Violation in Employee Benefits
AUD000201,EMP002684,REG001999,2024-08-05,pass,
AUD000202,EMP003685,REG001241,2025-03-29,fail,Violation in Income Tax
AUD000203,EMP001238,REG000259,2025-05-11,pass,
AUD000204,EMP003898,REG000094,2025-02-09,pass,
AUD000205,EMP000920,REG002443,2023-08-23,fail,Violation in Minimum Wage
AUD000206,EMP005226,REG001695,2024-04-08,fail,Violation in Employee Benefits
AUD000207,EMP005681,REG002264,2025-03-22,fail,Violation in Overtime Pay
AUD000208,EMP003765,REG001728,2024-07-01,fail,Violation in Income Tax
AUD000209,EMP002029,REG002095,2024-04-30,pass,
AUD000210,EMP000353,REG002097,2025-03-28,fail,Violation in Payroll Reporting
AUD000211,EMP005861,REG001523,2024-07-10,fail,Violation in Payroll Reporting
AUD000212,EMP002133,REG002867,2024-09-27,pass,
AUD000213,EMP006434,REG002339,2024-10-12,pass,
AUD000214,EMP005742,REG001934,2023-07-01,fail,Violation in Payroll Reporting
AUD000215,EMP005143,REG002293,2025-01-26,pass,
AUD000216,EMP001925,REG000134,2023-09-03,pass,
AUD000217,EMP002345,REG000652,2024-11-05,pass,
AUD000218,EMP005525,REG000014,2023-11-24,pass,
AUD000219,EMP004588,REG001200,2024-07-10,pass,
AUD000220,EMP002479,REG000578,2023-10-25,fail,Violation in Payroll Reporting
AUD000221,EMP006597,REG000576,2023-09-11,fail,Violation in Minimum Wage
AUD000222,EMP005790,REG001554,2024-03-08,pass,
AUD000223,EMP006626,REG000983,2023-10-08,pass,
AUD000224,EMP000448,REG001206,2024-02-14,pass,
AUD000225,EMP001559,REG001931,2023-09-18,fail,Violation in Payroll Reporting
AUD000226,EMP001685,REG000557,2025-01-04,pass,
AUD000227,EMP003612,REG001108,2024-12-17,pass,
AUD000228,EMP001237,REG002109,2025-02-23,pass,
AUD000229,EMP006510,REG001383,2023-10-04,pass,
AUD000230,EMP006317,REG002658,2023-10-06,fail,Violation in Social Security
AUD000231,EMP005748,REG001873,2024-04-05,fail,Violation in Employee Benefits
AUD000232,EMP001870,REG000671,2024-12-14,pass,
AUD000233,EMP005260,REG002714,2023-07-17,pass,
AUD000234,EMP006828,REG002538,2024-08-03,pass,
AUD000235,EMP005094,REG002749,2025-05-04,pass,
AUD000236,EMP004275,REG001142,2023-09-18,fail,Violation in Income Tax
AUD000237,EMP001725,REG000510,2024-08-29,pass,
AUD000238,EMP003436,REG000919,2023-09-29,pass,
AUD000239,EMP002264,REG002081,2023-07-17,fail,Violation in Employee Benefits
AUD000240,EMP004602,REG001994,2023-12-31,pass,
AUD000241,EMP000330,REG001021,2024-11-04,pass,
AUD000242,EMP006976,REG001950,2024-02-11,pass,
AUD000243,EMP004681,REG001505,2023-08-24,fail,Violation in Minimum Wage
AUD000244,EMP003929,REG000221,2024-08-12,fail,Violation in Income Tax
AUD000245,EMP005316,REG001844,2024-07-03,fail,Violation in Minimum Wage
AUD000246,EMP006936,REG001324,2023-09-27,fail,Violation in Income Tax
AUD000247,EMP006761,REG001441,2024-08-25,pass,
AUD000248,EMP000983,REG002603,2024-07-28,fail,Violation in Minimum Wage
AUD000249,EMP000670,REG000184,2025-03-14,pass,
AUD000250,EMP002810,REG001336,2024-07-16,pass,
AUD000251,EMP003607,REG000893,2023-11-05,fail,Violation in Social Security
AUD000252,EMP002738,REG002422,2023-12-20,pass,
AUD000253,EMP000120,REG000515,2023-12-01,pass,
AUD000254,EMP004304,REG002469,2023-06-01,pass,
AUD000255,EMP002764,REG002533,2023-08-01,fail,Violation in Overtime Pay
AUD000256,EMP001437,REG001181,2023-12-09,pass,
AUD000257,EMP001074,REG000798,2024-05-15,fail,Violation in Income Tax
AUD000258,EMP006573,REG000810,2023-09-16,fail,Violation in Minimum Wage
AUD000259,EMP005663,REG002058,2024-08-28,pass,
AUD000260,EMP000939,REG001578,2024-04-10,pass,
AUD000261,EMP003990,REG000806,2023-07-04,pass,
AUD000262,EMP000565,REG000614,2023-11-28,fail,Violation in Employee Benefits
AUD000263,EMP001815,REG001448,2024-04-10,pass,
AUD000264,EMP005965,REG002123,2024-04-04,fail,Violation in Payroll Reporting
AUD000265,EMP001915,REG002628,2024-11-14,pass,
AUD000266,EMP003423,REG002521,2024-07-26,fail,Violation in Social Security
AUD000267,EMP006202,REG001850,2024-12-22,fail,Violation in Minimum Wage
AUD000268,EMP001080,REG002463,2023-11-24,fail,Violation in Income Tax
AUD000269,EMP003818,REG000531,2023-12-25,fail,Violation in Minimum Wage
AUD000270,EMP003337,REG000113,2024-01-23,fail,Violation in Social Security
AUD000271,EMP001545,REG001481,2023-09-03,fail,Violation in Minimum Wage
AUD000272,EMP005986,REG001887,2024-02-15,fail,Violation in Payroll Reporting
AUD000273,EMP002346,REG000295,2024-07-15,fail,Violation in Minimum Wage
AUD000274,EMP006491,REG002875,2024-07-13,pass,
AUD000275,EMP002126,REG002982,2024-12-11,fail,Violation in Minimum Wage
AUD000276,EMP006400,REG002994,2023-12-25,fail,Violation in Employee Benefits
AUD000277,EMP000768,REG002155,2024-11-15,fail,Violation in Minimum Wage
AUD000278,EMP006198,REG002087,2024-12-30,pass,
AUD000279,EMP005031,REG000673,2024-09-10,pass,
AUD000280,EMP006252,REG002786,2024-08-03,fail,Violation in Employee Benefits
AUD000281,EMP006159,REG001165,2024-01-29,fail,Violation in Payroll Reporting
AUD000282,EMP006295,REG000069,2024-05-23,fail,Violation in Employee Benefits
AUD000283,EMP001977,REG002884,2024-03-13,pass,
AUD000284,EMP004454,REG000355,2025-03-13,pass,
AUD000285,EMP006406,REG000079,2025-01-30,pass,
AUD000286,EMP000261,REG002298,2024-11-09,fail,Violation in Employee Benefits
AUD000287,EMP004427,REG001103,2024-10-20,pass,
AUD000288,EMP006851,REG002475,2024-05-14,pass,
AUD000289,EMP006000,REG002135,2024-05-23,pass,
AUD000290,EMP003904,REG001456,2023-07-04,pass,
AUD000291,EMP004807,REG002834,2024-12-03,fail,Violation in Minimum Wage
AUD000292,EMP005561,REG000286,2024-02-08,pass,
AUD000293,EMP001502,REG000976,2023-07-07,fail,Violation in Employee Benefits
AUD000294,EMP000463,REG002459,2023-10-25,pass,
AUD000295,EMP005115,REG000948,2023-10-10,pass,
AUD000296,EMP005119,REG000805,2023-12-21,pass,
AUD000297,EMP003889,REG001307,2024-04-16,fail,Violation in Income Tax
AUD000298,EMP003024,REG001346,2023-05-28,fail,Violation in Employee Benefits
AUD000299,EMP005951,REG001349,2025-03-11,fail,Violation in Social Security
AUD000300,EMP003950,REG000751,2023-11-05,fail,Violation in Overtime Pay
AUD000301,EMP004249,REG002469,2025-01-04,pass,
AUD000302,EMP002377,REG001417,2024-11-09,fail,Violation in Payroll Reporting
AUD000303,EMP006688,REG002502,2023-08-02,pass,
AUD000304,EMP003732,REG001790,2025-05-15,pass,
AUD000305,EMP003342,REG001970,2024-05-31,fail,Violation in Minimum Wage
AUD000306,EMP003681,REG001538,2024-06-11,pass,
AUD000307,EMP000047,REG002075,2024-01-01,pass,
AUD000308,EMP001791,REG002271,2024-08-22,fail,Violation in Income Tax
AUD000309,EMP004991,REG002800,2024-04-12,pass,
AUD000310,EMP001565,REG002154,2025-01-05,fail,Violation in Income Tax
AUD000311,EMP000699,REG002949,2024-09-09,pass,
AUD000312,EMP002598,REG001104,2025-01-16,pass,
AUD000313,EMP004461,REG002508,2023-07-17,fail,Violation in Social Security
AUD000314,EMP004618,REG000125,2025-05-17,pass,
AUD000315,EMP001448,REG002511,2024-09-13,pass,
AUD000316,EMP001443,REG000514,2023-10-17,pass,
AUD000317,EMP003324,REG000999,2025-02-02,fail,Violation in Social Security
AUD000318,EMP006537,REG002955,2024-09-11,pass,
AUD000319,EMP002992,REG002335,2025-01-05,fail,Violation in Employee Benefits
AUD000320,EMP000614,REG000195,2023-11-02,pass,
AUD000321,EMP003184,REG000880,2023-07-27,pass,
AUD000322,EMP005811,REG001623,2024-08-23,pass,
AUD000323,EMP004979,REG000914,2024-12-05,pass,
AUD000324,EMP002596,REG002187,2024-08-14,pass,
AUD000325,EMP006528,REG002692,2024-04-19,fail,Violation in Social Security
AUD000326,EMP002380,REG001350,2024-08-07,fail,Violation in Social Security
AUD000327,EMP005508,REG000966,2024-01-02,pass,
AUD000328,EMP004096,REG001264,2025-02-07,pass,
AUD000329,EMP005930,REG000474,2024-11-16,pass,
AUD000330,EMP002906,REG000697,2024-11-19,pass,
AUD000331,EMP000353,REG001396,2023-11-20,pass,
AUD000332,EMP001525,REG000222,2024-07-31,pass,
AUD000333,EMP004430,REG000838,2024-08-18,pass,
AUD000334,EMP001257,REG001749,2024-05-09,fail,Violation in Overtime Pay
AUD000335,EMP005061,REG001940,2024-09-04,fail,Violation in Social Security
AUD000336,EMP003531,REG002180,2023-11-25,pass,
AUD000337,EMP000213,REG000962,2024-04-01,pass,
AUD000338,EMP004015,REG000835,2025-01-01,fail,Violation in Overtime Pay
AUD000339,EMP000411,REG002920,2024-11-27,pass,
AUD000340,EMP003895,REG001694,2025-01-07,pass,
AUD000341,EMP001745,REG002332,2025-01-31,fail,Violation in Minimum Wage
AUD000342,EMP005588,REG002793,2024-07-01,fail,Violation in Income Tax
AUD000343,EMP004345,REG000553,2023-10-22,fail,Violation in Income Tax
AUD000344,EMP006035,REG000546,2024-03-03,fail,Violation in Income Tax
AUD000345,EMP004052,REG002637,2023-12-28,pass,
AUD000346,EMP004559,REG001390,2025-03-20,fail,Violation in Employee Benefits
AUD000347,EMP000559,REG000828,2023-12-07,pass,
AUD000348,EMP004167,REG001345,2024-03-06,fail,Violation in Minimum Wage
AUD000349,EMP002869,REG001229,2025-05-24,fail,Violation in Overtime Pay
AUD000350,EMP000746,REG002777,2023-09-10,fail,Violation in Social Security
AUD000351,EMP000321,REG001806,2024-05-28,fail,Violation in Overtime Pay
AUD000352,EMP004420,REG001519,2024-09-11,fail,Violation in Social Security
AUD000353,EMP005192,REG001200,2023-12-23,fail,Violation in Social Security
AUD000354,EMP000446,REG000478,2024-01-01,pass,
AUD000355,EMP006845,REG002170,2024-09-06,fail,Violation in Income Tax
AUD000356,EMP001430,REG002671,2025-01-28,fail,Violation in Income Tax
AUD000357,EMP005798,REG002616,2025-04-06,pass,
AUD000358,EMP001140,REG001671,2023-12-08,fail,Violation in Payroll Reporting
AUD000359,EMP006433,REG001654,2023-08-14,pass,
AUD000360,EMP001054,REG000896,2023-07-21,fail,Violation in Overtime Pay
AUD000361,EMP005054,REG001250,2024-12-27,pass,
AUD000362,EMP005423,REG000982,2023-09-29,pass,
AUD000363,EMP003890,REG000904,2023-10-29,fail,Violation in Income Tax
AUD000364,EMP002204,REG001358,2023-11-21,fail,Violation in Payroll Reporting
AUD000365,EMP002579,REG000064,2024-05-02,pass,
AUD000366,EMP005578,REG000096,2023-07-30,fail,Violation in Social Security
AUD000367,EMP004723,REG001541,2024-05-14,pass,
AUD000368,EMP002705,REG001477,2024-12-23,fail,Violation in Income Tax
AUD000369,EMP003845,REG002288,2024-07-19,pass,
AUD000370,EMP001947,REG001827,2023-06-02,fail,Violation in Social Security
AUD000371,EMP005463,REG002328,2023-06-24,pass,
AUD000372,EMP004616,REG000073,2023-05-27,fail,Violation in Minimum Wage
AUD000373,EMP002616,REG000346,2024-10-13,fail,Violation in Overtime Pay
AUD000374,EMP001651,REG002592,2024-12-06,pass,
AUD000375,EMP003282,REG002064,2024-07-06,pass,
AUD000376,EMP003312,REG002248,2023-10-24,fail,Violation in Minimum Wage
AUD000377,EMP000106,REG002904,2024-10-31,pass,
AUD000378,EMP003760,REG001067,2024-10-27,fail,Violation in Overtime Pay
AUD000379,EMP005900,REG000770,2024-11-01,pass,
AUD000380,EMP005056,REG000608,2025-01-31,fail,Violation in Income Tax
AUD000381,EMP003196,REG001636,2024-07-17,pass,
AUD000382,EMP001781,REG001998,2023-07-06,pass,
AUD000383,EMP002340,REG001837,2023-06-23,fail,Violation in Payroll Reporting
AUD000384,EMP002054,REG000172,2023-12-01,pass,
AUD000385,EMP004875,REG000390,2025-02-28,fail,Violation in Overtime Pay
AUD000386,EMP003132,REG001707,2025-03-14,pass,
AUD000387,EMP005450,REG001511,2025-01-15,fail,Violation in Income Tax
AUD000388,EMP004590,REG001559,2025-05-10,pass,
AUD000389,EMP005236,REG001397,2024-10-04,pass,
AUD000390,EMP006618,REG000687,2025-05-15,pass,
AUD000391,EMP006857,REG001665,2025-05-19,fail,Violation in Income Tax
AUD000392,EMP000278,REG000699,2024-10-28,pass,
AUD000393,EMP006860,REG001366,2024-05-15,fail,Violation in Employee Benefits
AUD000394,EMP000524,REG000437,2024-01-17,fail,Violation in Social Security
AUD000395,EMP006334,REG001514,2024-01-20,fail,Violation in Overtime Pay
AUD000396,EMP001551,REG002153,2023-09-17,pass,
AUD000397,EMP004426,REG000267,2025-03-02,fail,Violation in Overtime Pay
AUD000398,EMP004414,REG001244,2024-05-09,fail,Violation in Social Security
AUD000399,EMP000272,REG002277,2024-01-22,pass,
AUD000400,EMP005415,REG001539,2025-02-02,pass,
AUD000401,EMP002763,REG000528,2024-02-03,fail,Violation in Minimum Wage
AUD000402,EMP003068,REG000985,2023-11-27,pass,
AUD000403,EMP003584,REG000865,2024-07-27,fail,Violation in Payroll Reporting
AUD000404,EMP000536,REG000154,2024-12-25,fail,Violation in Minimum Wage
AUD000405,EMP002675,REG001921,2023-10-05,pass,
AUD000406,EMP005283,REG000407,2024-04-13,fail,Violation in Employee Benefits
AUD000407,EMP003660,REG002137,2023-11-22,pass,
AUD000408,EMP006278,REG000807,2023-07-12,fail,Violation in Employee Benefits
AUD000409,EMP002750,REG000296,2025-04-27,fail,Violation in Overtime Pay
AUD000410,EMP002950,REG001556,2024-08-04,fail,Violation in Overtime Pay
AUD000411,EMP001593,REG002454,2025-04-09,fail,Violation in Social Security
AUD000412,EMP004414,REG002424,2023-10-17,pass,
AUD000413,EMP003488,REG001964,2023-11-24,pass,
AUD000414,EMP005110,REG001948,2023-08-01,fail,Violation in Overtime Pay
AUD000415,EMP000639,REG000486,2023-10-01,fail,Violation in Minimum Wage
AUD000416,EMP002341,REG001547,2023-10-31,fail,Violation in Minimum Wage
AUD000417,EMP001590,REG000923,2025-02-23,pass,
AUD000418,EMP003888,REG002301,2024-09-04,fail,Violation in Minimum Wage
